Time,Signal,BPM,Emotion,,,,,,,
10:41:25,494,59,43.33333333,10:52:37,505,72,53.33333333,,,
10:41:26,522,59,43.33333333,10:52:39,503,71,53.33333333,,,
10:41:27,526,59,43.33333333,10:52:40,516,73,53.33333333,,,
10:41:28,572,59,43.33333333,10:52:41,524,74,56.66666667,,,
10:41:29,596,59,43.33333333,10:52:42,508,74,56.66666667,,,
10:41:30,602,59,40,10:52:43,504,72,56.66666667,,,
10:41:31,617,59,40,10:52:44,509,67,53.33333333,,,
10:41:32,598,59,40,10:52:45,509,66,50,,,
10:41:33,602,59,40,10:52:46,507,65,46.66666667,,,
10:41:34,633,58,36.66666667,10:52:47,507,65,43.33333333,,,
10:41:35,619,59,33.33333333,10:52:48,504,65,40,,,
10:41:36,571,59,30,10:52:49,506,64,40,,,
10:41:37,492,60,33.33333333,10:52:50,504,67,36.66666667,,,
10:41:38,511,61,36.66666667,10:52:51,502,69,40,,,
10:41:39,509,61,36.66666667,10:52:52,502,70,40,,,
10:41:40,491,62,33.33333333,10:52:53,502,70,40,,,
10:41:41,488,62,33.33333333,10:52:54,504,70,40,,,
10:41:42,489,62,33.33333333,10:52:55,505,70,40,,,
10:41:43,491,62,33.33333333,10:52:56,506,70,40,,,
10:41:44,492,62,33.33333333,10:52:57,508,70,40,,,
10:41:45,498,63,30,10:52:58,510,70,40,,,
10:41:46,549,65,30,10:52:59,512,70,40,,,
10:41:47,504,67,30,10:53:00,510,70,40,,,
10:41:48,531,71,33.33333333,10:53:01,504,70,40,,,
10:41:49,492,72,36.66666667,10:53:02,501,61,40,,,
10:41:50,500,74,40,10:53:03,502,61,40,,,
10:41:51,499,75,36.66666667,10:53:04,499,61,36.66666667,,,
10:41:52,500,77,36.66666667,10:53:05,493,61,36.66666667,,,
10:41:53,517,78,36.66666667,10:53:06,500,61,36.66666667,,,
10:41:54,502,78,36.66666667,10:53:07,499,61,36.66666667,,,
10:41:55,498,77,33.33333333,10:53:08,499,61,36.66666667,,,
10:41:56,504,75,33.33333333,10:53:09,498,62,33.33333333,,,
10:41:57,504,74,36.66666667,10:53:10,517,63,33.33333333,,,
10:41:58,508,75,40,10:53:11,507,64,33.33333333,,,
10:41:59,506,75,40,10:53:12,504,67,36.66666667,,,
10:42:00,528,75,40,10:53:13,511,68,36.66666667,,,
10:42:01,497,75,40,10:53:14,521,69,33.33333333,,,
10:42:02,481,75,40,10:53:15,519,69,33.33333333,,,
10:42:03,519,78,40,10:53:16,513,69,33.33333333,,,
10:42:04,481,79,43.33333333,10:53:17,512,69,33.33333333,,,
10:42:05,492,79,43.33333333,10:53:18,509,68,36.66666667,,,
10:42:06,494,78,46.66666667,10:53:19,514,68,36.66666667,,,
10:42:07,567,77,43.33333333,10:53:20,506,67,36.66666667,,,
10:42:08,524,76,43.33333333,10:53:21,504,65,36.66666667,,,
10:42:09,491,74,40,10:53:22,504,64,40,,,
10:42:10,503,72,40,10:53:23,505,63,40,,,
10:42:11,508,71,40,10:53:24,505,63,40,,,
10:42:12,490,69,40,10:53:25,504,63,40,,,
10:42:13,499,68,40,10:53:26,505,62,40,,,
10:42:14,494,68,43.33333333,10:53:27,505,63,40,,,
10:42:15,500,67,43.33333333,10:53:28,503,63,36.66666667,,,
10:42:16,509,66,43.33333333,10:53:29,502,62,36.66666667,,,
10:42:17,546,65,43.33333333,10:53:30,511,62,33.33333333,,,
10:42:18,568,65,40,10:53:31,507,64,30,,,
10:42:19,492,66,36.66666667,10:53:32,508,64,30,,,
10:42:20,500,66,36.66666667,10:53:33,507,64,30,,,
10:42:21,488,66,36.66666667,10:53:34,507,65,33.33333333,,,
10:42:22,499,66,40,10:53:35,505,66,33.33333333,,,
10:42:23,495,66,40,10:53:36,505,67,36.66666667,,,
10:42:24,493,65,40,10:53:37,504,67,40,,,
10:42:25,496,65,43.33333333,10:53:38,505,67,43.33333333,,,
10:42:26,500,65,40,10:53:39,512,66,43.33333333,,,
10:42:27,529,66,36.66666667,10:53:40,520,65,43.33333333,,,
10:42:28,543,64,36.66666667,10:53:41,521,64,40,,,
10:42:29,574,64,40,10:53:42,518,65,40,,,
10:42:30,555,63,40,10:53:43,514,64,43.33333333,,,
10:42:31,493,63,40,10:53:44,510,64,46.66666667,,,
10:42:32,499,63,43.33333333,10:53:45,508,62,43.33333333,,,
10:42:33,497,62,46.66666667,10:53:46,511,61,40,,,
10:42:34,500,62,43.33333333,10:53:47,512,61,43.33333333,,,
10:42:35,503,62,43.33333333,10:53:48,512,61,40,,,
10:42:36,506,61,40,10:53:49,518,60,40,,,
10:42:37,499,61,40,10:53:50,524,59,36.66666667,,,
10:42:38,506,61,36.66666667,10:53:51,515,59,36.66666667,,,
10:42:39,514,61,40,10:53:52,510,59,36.66666667,,,
10:42:40,502,61,40,10:53:53,514,59,33.33333333,,,
10:42:41,492,61,40,10:53:54,508,59,33.33333333,,,
10:42:42,490,61,40,10:53:55,503,58,36.66666667,,,
10:42:43,489,61,40,10:53:56,503,58,40,,,
10:42:44,484,61,36.66666667,10:53:57,504,58,40,,,
10:42:45,488,61,36.66666667,10:53:58,503,58,40,,,
10:42:46,498,61,33.33333333,10:53:59,503,57,40,,,
10:42:47,501,62,33.33333333,10:54:00,504,57,40,,,
10:42:48,497,61,36.66666667,10:54:01,501,58,40,,,
10:42:49,488,61,36.66666667,10:54:02,504,58,40,,,
10:42:50,484,60,33.33333333,10:54:03,504,58,43.33333333,,,
10:42:51,499,59,33.33333333,10:54:04,504,58,36.66666667,,,
10:42:52,516,59,30,10:54:05,503,58,33.33333333,,,
10:42:53,522,59,30,10:54:06,504,58,33.33333333,,,
10:42:54,516,59,26.66666667,10:54:07,502,58,30,,,
10:42:55,484,60,26.66666667,10:54:08,499,58,26.66666667,,,
10:42:56,496,60,30,10:54:09,499,58,23.33333333,,,
10:42:57,600,62,33.33333333,10:54:10,506,57,23.33333333,,,
10:42:58,483,64,33.33333333,10:54:11,513,57,23.33333333,,,
10:42:59,493,66,30,10:54:12,511,57,23.33333333,,,
10:43:00,487,67,33.33333333,10:54:13,511,57,23.33333333,,,
10:43:01,493,68,36.66666667,10:54:14,502,57,20,,,
10:43:02,535,71,33.33333333,10:54:15,507,57,16.66666667,,,
10:43:03,498,72,33.33333333,10:54:16,500,58,20,,,
10:43:04,494,73,33.33333333,10:54:17,500,60,23.33333333,,,
10:43:05,522,75,33.33333333,10:54:18,525,63,23.33333333,,,
10:43:06,501,76,33.33333333,10:54:19,528,64,23.33333333,,,
10:43:07,507,77,33.33333333,10:54:20,510,64,23.33333333,,,
10:43:08,506,82,33.33333333,10:54:21,503,64,26.66666667,,,
10:43:09,501,84,30,10:54:22,502,63,30,,,
10:43:10,540,82,30,10:54:23,501,63,30,,,
10:43:11,522,80,33.33333333,10:54:24,499,63,30,,,
10:43:12,508,77,36.66666667,10:54:25,509,63,26.66666667,,,
10:43:13,508,75,36.66666667,10:54:26,498,62,23.33333333,,,
10:43:14,515,73,36.66666667,10:54:27,501,61,26.66666667,,,
10:43:15,512,70,36.66666667,10:54:28,522,59,26.66666667,,,
10:43:16,508,68,36.66666667,10:54:29,539,60,26.66666667,,,
10:43:17,499,66,33.33333333,10:54:30,538,60,26.66666667,,,
10:43:18,499,63,30,10:54:31,535,61,26.66666667,,,
10:43:19,498,62,30,10:54:32,538,61,26.66666667,,,
10:43:20,494,61,30,10:54:33,540,61,23.33333333,,,
10:43:21,512,60,30,10:54:35,539,61,23.33333333,,,
10:43:22,541,59,30,10:54:36,534,61,23.33333333,,,
10:43:23,566,59,30,10:54:37,534,61,23.33333333,,,
10:43:25,579,59,30,10:54:38,521,61,23.33333333,,,
10:43:26,542,58,23.33333333,10:54:39,514,60,23.33333333,,,
10:43:27,504,58,23.33333333,10:54:40,508,60,23.33333333,,,
10:43:28,497,58,20,10:54:41,504,60,23.33333333,,,
