Time,Signal,BPM,Emotion,,,,,,,
11:01:17,0,0,0,11:12:49,0,0,0,,6.972337843,9.361775928
11:01:18,0,0,0,11:12:50,0,0,0,,,
11:01:19,507,0,0,11:12:51,495,60,0,,,
11:01:20,508,0,0,11:12:52,495,60,0,,,
11:01:21,337,0,0,11:12:53,494,60,0,,,
11:01:22,0,184,0,11:12:54,496,60,0,,,
11:01:23,0,184,0,11:12:55,509,60,0,,,
11:01:24,0,184,0,11:12:56,499,60,0,,,
11:01:25,0,184,0,11:12:57,504,60,0,,,
11:01:26,0,184,0,11:12:58,502,60,0,,,
11:01:27,0,184,0,11:12:59,502,60,0,,,
11:01:28,0,184,0,11:13:00,502,60,0,,,
11:01:29,511,184,0,11:13:01,503,60,0,,,
11:01:30,495,53,0,11:13:02,501,60,0,,,
11:01:31,494,53,0,11:13:03,502,60,0,,,
11:01:32,490,53,0,11:13:04,503,60,0,,,
11:01:33,492,53,0,11:13:05,504,60,0,,,
11:01:34,516,53,0,11:13:06,503,60,0,,,
11:01:35,527,53,0,11:13:07,503,60,0,,,
11:01:36,530,53,0,11:13:08,503,60,0,,,
11:01:37,501,53,0,11:13:09,503,60,0,,,
11:01:38,505,53,0,11:13:10,502,60,0,,,
11:01:39,517,53,0,11:13:11,502,60,0,,,
11:01:40,508,53,0,11:13:12,503,60,0,,,
11:01:41,508,53,0,11:13:13,504,60,0,,,
11:01:42,517,53,0,11:13:14,507,60,0,,,
11:01:43,514,53,0,11:13:15,510,60,0,,,
11:01:44,499,53,0,11:13:16,510,60,0,,,
11:01:45,498,53,0,11:13:17,511,60,0,,,
11:01:46,500,53,0,11:13:18,509,60,0,,,
11:01:47,498,53,0,11:13:19,510,60,0,,,
11:01:48,499,53,0,11:13:20,511,60,0,,,
11:01:49,501,53,0,11:13:21,510,60,0,,,
11:01:50,501,53,0,11:13:22,508,60,0,,,
11:01:51,500,53,0,11:13:23,504,60,0,,,
11:01:52,500,53,0,11:13:24,501,60,0,,,
11:01:53,499,53,0,11:13:25,513,60,0,,,
11:01:54,503,53,0,11:13:26,509,60,0,,,
11:01:55,505,53,0,11:13:27,508,60,0,,,
11:01:56,506,53,0,11:13:28,509,60,0,,,
11:01:57,504,53,0,11:13:29,508,60,0,,,
11:01:58,500,53,0,11:13:30,509,60,0,,,
11:01:59,501,53,0,11:13:31,510,60,0,,,
11:02:00,501,53,0,11:13:32,510,60,0,,,
11:02:01,500,53,0,11:13:33,509,60,0,,,
11:02:02,501,53,0,11:13:34,509,60,0,,,
11:02:03,501,53,0,11:13:35,511,60,0,,,
11:02:04,500,53,0,11:13:36,514,60,0,,,
11:02:05,498,53,0,11:13:37,505,60,0,,,
11:02:06,499,53,0,11:13:38,501,60,0,,,
11:02:07,501,53,0,11:13:39,499,60,0,,,
11:02:08,499,53,0,11:13:40,499,60,0,,,
11:02:09,500,53,0,11:13:41,502,60,0,,,
11:02:10,500,53,0,11:13:42,505,60,0,,,
