Time,Signal,BPM,Emotion,,,,,,
13:56:49,0,0,0,0,0,0,,10.65802578,10.57358078
13:56:50,0,0,0,0,0,0,,,
13:56:51,504,79,0,509,69,0,,,
13:56:52,495,72,0,506,69,0,,,
13:56:53,493,72,0,511,69,0,,,
13:56:54,496,71,0,543,69,0,,,
13:56:55,497,70,0,503,69,0,,,
13:56:56,499,70,0,497,69,0,,,
13:56:57,528,69,0,547,69,0,,,
13:56:58,585,67,0,499,69,0,,,
13:56:59,599,66,0,489,49,0,,,
13:57:00,540,65,0,497,49,0,,,
13:57:01,477,65,0,503,49,0,,,
13:57:02,511,64,0,507,49,0,,,
13:57:03,485,64,0,516,49,0,,,
13:57:04,497,65,0,542,49,0,,,
13:57:05,555,66,0,503,71,0,,,
13:57:07,533,68,0,503,70,0,,,
13:57:08,479,71,0,518,70,0,,,
13:57:09,488,71,0,485,70,0,,,
13:57:10,492,71,0,489,69,0,,,
13:57:11,492,71,0,493,68,0,,,
13:57:12,495,70,0,495,67,0,,,
13:57:13,500,68,0,495,66,0,,,
13:57:14,498,66,50,496,66,0,,,
13:57:15,495,65,46.66666667,494,65,0,,,
13:57:16,491,63,43.33333333,494,63,0,,,
13:57:17,495,61,43.33333333,496,63,0,,,
13:57:18,500,60,43.33333333,498,62,0,,,
13:57:19,563,62,46.66666667,498,61,0,,,
13:57:20,499,62,50,497,60,0,,,
13:57:21,506,63,50,501,60,0,,,
13:57:22,495,65,50,501,60,0,,,
13:57:23,524,70,50,496,60,0,,,
13:57:24,499,72,53.33333333,529,60,50,,,
13:57:25,509,72,53.33333333,497,61,50,,,
13:57:26,501,73,56.66666667,504,63,50,,,
13:57:27,498,72,60,496,65,50,,,
13:57:28,498,71,60,500,66,46.66666667,,,
13:57:29,497,70,60,564,69,50,,,
13:57:30,501,70,60,557,69,46.66666667,,,
13:57:31,559,68,60,498,69,46.66666667,,,
13:57:32,578,67,60,508,70,46.66666667,,,
13:57:33,521,66,60,498,71,46.66666667,,,
13:57:34,496,65,56.66666667,495,69,46.66666667,,,
13:57:35,473,64,53.33333333,502,68,46.66666667,,,
13:57:36,475,63,50,501,68,46.66666667,,,
13:57:37,469,63,46.66666667,501,68,43.33333333,,,
13:57:38,474,62,46.66666667,504,66,46.66666667,,,
13:57:39,484,62,43.33333333,539,66,50,,,
13:57:40,495,61,40,511,67,53.33333333,,,
13:57:41,511,61,36.66666667,495,68,53.33333333,,,
13:57:42,521,61,33.33333333,499,68,53.33333333,,,
13:57:43,493,61,30,562,69,56.66666667,,,
13:57:44,492,62,26.66666667,576,68,60,,,
13:57:45,496,62,30,472,68,60,,,
13:57:46,497,63,33.33333333,500,70,60,,,
13:57:47,498,63,30,499,72,63.33333333,,,
13:57:48,498,63,26.66666667,497,72,63.33333333,,,
13:57:49,497,63,23.33333333,497,71,60,,,
13:57:50,496,63,20,497,69,63.33333333,,,
13:57:51,517,63,20,495,66,66.66666667,,,
13:57:52,600,63,16.66666667,495,65,63.33333333,,,
13:57:53,511,62,13.33333333,494,64,60,,,
13:57:54,491,63,13.33333333,495,63,60,,,
13:57:55,503,63,10,497,61,56.66666667,,,
13:57:56,508,63,6.666666667,498,60,53.33333333,,,
13:57:57,511,63,6.666666667,486,58,53.33333333,,,
13:57:58,506,63,6.666666667,480,57,50,,,
13:57:59,499,63,6.666666667,511,56,50,,,
13:58:00,492,63,6.666666667,509,56,46.66666667,,,
13:58:01,496,63,6.666666667,458,56,43.33333333,,,
13:58:02,499,63,6.666666667,566,55,40,,,
13:58:03,499,63,6.666666667,527,55,40,,,
13:58:04,498,63,6.666666667,495,55,40,,,
13:58:05,498,63,6.666666667,491,55,36.66666667,,,
13:58:06,499,63,6.666666667,490,54,36.66666667,,,
13:58:07,500,63,6.666666667,493,54,36.66666667,,,
13:58:08,526,64,6.666666667,490,54,33.33333333,,,
13:58:09,507,65,10,472,54,30,,,
13:58:10,499,65,10,481,54,26.66666667,,,
13:58:11,500,66,13.33333333,502,54,23.33333333,,,
13:58:12,500,67,13.33333333,514,55,23.33333333,,,
13:58:13,501,67,16.66666667,507,55,20,,,
13:58:14,500,67,16.66666667,496,56,16.66666667,,,
13:58:15,499,66,13.33333333,485,56,16.66666667,,,
13:58:16,498,66,13.33333333,547,56,20,,,
13:58:17,499,66,16.66666667,517,56,20,,,
13:58:18,505,65,16.66666667,503,55,16.66666667,,,
13:58:19,551,63,16.66666667,501,56,16.66666667,,,
13:58:20,602,62,16.66666667,500,56,20,,,
13:58:21,621,61,16.66666667,504,55,20,,,
13:58:22,624,61,16.66666667,500,55,16.66666667,,,
13:58:23,617,61,16.66666667,515,54,13.33333333,,,
13:58:24,526,61,16.66666667,527,53,13.33333333,,,
13:58:25,463,62,16.66666667,530,53,13.33333333,,,
13:58:26,489,62,16.66666667,500,52,13.33333333,,,
13:58:27,515,62,16.66666667,498,52,13.33333333,,,
13:58:28,516,62,16.66666667,500,52,13.33333333,,,
13:58:29,498,62,16.66666667,500,52,13.33333333,,,
13:58:30,498,62,16.66666667,496,52,13.33333333,,,
13:58:31,506,62,16.66666667,495,52,13.33333333,,,
13:58:32,497,62,16.66666667,504,53,16.66666667,,,
13:58:33,503,61,16.66666667,505,53,20,,,
13:58:34,508,61,16.66666667,550,53,23.33333333,,,
13:58:35,517,61,16.66666667,504,53,23.33333333,,,
13:58:36,523,60,16.66666667,499,53,23.33333333,,,
13:58:37,511,60,16.66666667,498,52,26.66666667,,,
13:58:38,518,60,16.66666667,506,52,26.66666667,,,
13:58:39,524,59,13.33333333,506,51,23.33333333,,,
13:58:40,519,59,13.33333333,527,51,23.33333333,,,
13:58:42,523,59,10,499,51,23.33333333,,,
13:58:43,507,59,10,498,51,23.33333333,,,
13:58:44,485,60,6.666666667,495,51,23.33333333,,,
13:58:45,465,60,3.333333333,493,51,26.66666667,,,
13:58:46,496,61,3.333333333,496,51,26.66666667,,,
13:58:47,660,64,6.666666667,493,51,30,,,
13:58:48,492,66,3.333333333,496,52,30,,,
13:58:49,493,67,3.333333333,507,52,30,,,
13:58:50,484,67,6.666666667,534,53,33.33333333,,,
13:58:51,482,67,10,536,53,30,,,
13:58:52,482,67,10,505,53,30,,,
13:58:53,480,67,13.33333333,504,54,33.33333333,,,
13:58:54,476,66,13.33333333,505,54,33.33333333,,,
13:58:55,477,65,13.33333333,507,56,30,,,
13:58:56,477,64,13.33333333,533,63,30,,,
13:58:57,483,63,16.66666667,541,63,33.33333333,,,
13:58:58,489,61,16.66666667,541,65,36.66666667,,,
13:58:59,496,61,16.66666667,531,66,36.66666667,,,
13:59:00,495,61,20,534,66,36.66666667,,,
13:59:01,492,61,20,500,66,36.66666667,,,
13:59:02,492,61,20,501,66,40,,,
13:59:03,494,61,20,502,66,40,,,
13:59:04,516,62,20,501,65,40,,,
13:59:05,598,63,20,513,63,40,,,
13:59:06,592,62,20,494,60,43.33333333,,,
13:59:07,596,62,23.33333333,500,62,43.33333333,,,
13:59:08,559,62,23.33333333,500,63,40,,,
13:59:09,505,62,23.33333333,497,68,36.66666667,,,
13:59:10,475,62,23.33333333,497,70,36.66666667,,,
13:59:11,472,62,23.33333333,497,73,33.33333333,,,
13:59:12,487,62,23.33333333,491,78,33.33333333,,,
13:59:13,492,63,23.33333333,498,79,33.33333333,,,
13:59:14,493,63,26.66666667,503,83,33.33333333,,,
13:59:15,499,64,26.66666667,506,93,36.66666667,,,
13:59:16,496,65,30,525,105,40,,,
13:59:17,497,65,30,567,102,40,,,
13:59:18,573,65,33.33333333,567,97,43.33333333,,,
13:59:19,595,66,33.33333333,582,93,43.33333333,,,
13:59:20,478,66,30,600,89,43.33333333,,,
13:59:21,502,66,26.66666667,609,83,43.33333333,,,
13:59:22,508,66,26.66666667,569,77,40,,,
13:59:23,482,65,23.33333333,462,71,40,,,
13:59:24,487,65,23.33333333,471,69,40,,,
13:59:25,494,65,23.33333333,474,64,43.33333333,,,
13:59:26,496,64,23.33333333,464,61,43.33333333,,,
13:59:27,497,64,20,474,60,40,,,
13:59:28,497,64,20,469,60,36.66666667,,,
13:59:29,497,64,20,469,60,36.66666667,,,
13:59:30,494,64,16.66666667,478,60,36.66666667,,,
13:59:31,494,63,16.66666667,570,60,36.66666667,,,
13:59:32,492,63,16.66666667,575,59,33.33333333,,,
13:59:33,548,62,16.66666667,499,59,33.33333333,,,
13:59:34,658,62,16.66666667,494,58,33.33333333,,,
13:59:35,481,63,16.66666667,494,57,33.33333333,,,
13:59:36,479,63,16.66666667,477,56,33.33333333,,,
13:59:37,502,64,13.33333333,516,55,26.66666667,,,
13:59:38,482,65,13.33333333,501,54,26.66666667,,,
13:59:39,494,65,13.33333333,458,54,26.66666667,,,
13:59:40,489,66,13.33333333,639,54,26.66666667,,,
13:59:41,495,66,13.33333333,695,54,26.66666667,,,
13:59:42,503,65,16.66666667,580,54,26.66666667,,,
13:59:43,555,65,13.33333333,496,54,26.66666667,,,
13:59:44,638,64,13.33333333,493,54,26.66666667,,,
13:59:45,599,64,10,488,55,26.66666667,,,
13:59:46,455,64,6.666666667,489,55,23.33333333,,,
13:59:47,482,63,3.333333333,492,55,20,,,
13:59:48,515,63,3.333333333,491,55,16.66666667,,,
13:59:49,516,63,3.333333333,500,55,13.33333333,,,
13:59:50,480,63,3.333333333,478,54,10,,,
13:59:51,475,63,3.333333333,528,54,10,,,
13:59:52,486,63,3.333333333,496,53,10,,,
13:59:53,495,64,3.333333333,491,53,10,,,
13:59:54,494,64,3.333333333,498,52,10,,,
13:59:55,496,63,6.666666667,481,52,10,,,
13:59:56,492,63,6.666666667,513,51,6.666666667,,,
13:59:57,491,62,6.666666667,465,51,3.333333333,,,
13:59:58,493,62,6.666666667,662,51,3.333333333,,,
13:59:59,491,62,6.666666667,496,51,3.333333333,,,
14:00:00,493,62,6.666666667,492,51,3.333333333,,,
14:00:01,490,61,6.666666667,494,51,6.666666667,,,
14:00:02,635,62,6.666666667,483,51,3.333333333,,,
14:00:03,468,63,10,518,51,3.333333333,,,
14:00:04,493,64,10,530,51,3.333333333,,,
14:00:05,491,65,10,568,51,3.333333333,,,
14:00:06,620,69,10,578,51,3.333333333,,,
14:00:07,472,70,13.33333333,657,53,6.666666667,,,
14:00:08,488,70,16.66666667,494,53,6.666666667,,,
14:00:09,493,69,20,494,53,10,,,
14:00:10,512,69,20,494,53,13.33333333,,,
14:00:11,521,68,20,497,54,13.33333333,,,
14:00:12,506,67,16.66666667,496,55,16.66666667,,,
14:00:13,490,68,16.66666667,498,55,20,,,
14:00:14,476,69,20,499,57,20,,,
14:00:15,491,70,23.33333333,501,58,23.33333333,,,
14:00:16,533,73,23.33333333,536,60,26.66666667,,,
14:00:17,505,73,26.66666667,506,60,30,,,
14:00:18,507,75,30,511,62,30,,,
14:00:19,512,75,33.33333333,501,64,30,,,
14:00:20,510,77,33.33333333,503,64,30,,,
14:00:22,503,77,33.33333333,501,65,33.33333333,,,
14:00:23,502,74,33.33333333,500,65,36.66666667,,,
14:00:24,501,70,36.66666667,497,63,36.66666667,,,
14:00:25,500,67,40,517,62,40,,,
14:00:26,498,65,36.66666667,497,61,40,,,
14:00:27,496,63,36.66666667,520,60,40,,,
14:00:28,493,62,36.66666667,583,59,40,,,
14:00:29,488,61,36.66666667,597,58,43.33333333,,,
14:00:30,485,60,36.66666667,508,58,43.33333333,,,
14:00:31,485,59,36.66666667,497,56,43.33333333,,,
14:00:32,483,58,36.66666667,498,55,43.33333333,,,
14:00:33,482,58,36.66666667,496,55,43.33333333,,,
14:00:34,481,58,33.33333333,494,55,43.33333333,,,
14:00:35,482,58,33.33333333,495,55,40,,,
14:00:36,498,58,33.33333333,498,56,40,,,
14:00:37,516,58,33.33333333,497,56,40,,,
14:00:38,526,58,30,499,57,40,,,
14:00:39,512,58,26.66666667,499,57,40,,,
14:00:40,479,58,23.33333333,499,57,36.66666667,,,
14:00:41,467,57,23.33333333,486,57,33.33333333,,,
14:00:42,595,57,23.33333333,491,57,33.33333333,,,
14:00:43,641,57,23.33333333,492,58,33.33333333,,,
14:00:44,627,57,23.33333333,496,59,33.33333333,,,
14:00:45,663,57,23.33333333,495,60,30,,,
14:00:46,670,57,20,552,61,33.33333333,,,
14:00:47,568,57,20,526,62,30,,,
14:00:48,493,57,20,508,64,26.66666667,,,
14:00:49,492,57,16.66666667,501,65,23.33333333,,,
14:00:50,488,57,13.33333333,510,65,23.33333333,,,
14:00:51,492,56,10,503,65,26.66666667,,,
14:00:52,493,56,10,531,63,26.66666667,,,
14:00:53,475,56,10,583,62,23.33333333,,,
14:00:54,484,56,10,506,62,23.33333333,,,
14:00:55,530,56,6.666666667,499,60,20,,,
14:00:56,517,55,3.333333333,499,59,20,,,
14:00:57,527,56,3.333333333,497,58,16.66666667,,,
14:00:58,488,56,6.666666667,501,57,16.66666667,,,
14:00:59,510,56,6.666666667,497,56,16.66666667,,,
14:01:00,517,57,10,609,58,20,,,
14:01:01,493,57,10,544,59,20,,,
14:01:02,470,57,10,510,60,20,,,
14:01:03,629,57,13.33333333,489,62,23.33333333,,,
14:01:04,654,57,16.66666667,495,65,26.66666667,,,
14:01:05,498,57,16.66666667,552,68,26.66666667,,,
14:01:06,495,57,16.66666667,537,69,26.66666667,,,
14:01:07,496,56,20,522,69,30,,,
14:01:08,480,55,20,499,68,30,,,
14:01:09,515,54,20,502,68,33.33333333,,,
14:01:10,479,54,20,501,67,33.33333333,,,
14:01:11,492,53,20,501,66,36.66666667,,,
14:01:12,659,53,20,515,65,40,,,
14:01:13,515,53,20,505,64,36.66666667,,,
14:01:14,599,54,20,499,64,36.66666667,,,
14:01:15,620,54,23.33333333,500,64,33.33333333,,,
14:01:16,495,54,23.33333333,546,66,36.66666667,,,
14:01:17,495,54,23.33333333,507,67,33.33333333,,,
14:01:18,496,54,26.66666667,513,67,33.33333333,,,
14:01:19,499,55,23.33333333,499,68,36.66666667,,,
14:01:20,489,55,26.66666667,498,68,36.66666667,,,
14:01:21,508,54,30,505,67,40,,,
14:01:22,557,54,33.33333333,518,65,40,,,
14:01:23,498,54,33.33333333,519,65,40,,,
14:01:24,495,53,33.33333333,522,63,43.33333333,,,
14:01:25,497,53,33.33333333,510,62,43.33333333,,,
14:01:26,496,52,36.66666667,499,61,43.33333333,,,
14:01:27,483,51,36.66666667,513,59,43.33333333,,,
14:01:28,496,52,36.66666667,485,58,43.33333333,,,
14:01:29,522,52,36.66666667,502,58,43.33333333,,,
14:01:30,480,52,36.66666667,604,58,40,,,
14:01:31,544,52,36.66666667,580,58,40,,,
14:01:32,620,53,33.33333333,497,58,40,,,
14:01:33,500,53,33.33333333,496,57,36.66666667,,,
14:01:34,493,53,33.33333333,497,56,33.33333333,,,
14:01:35,488,53,33.33333333,501,56,33.33333333,,,
14:01:36,494,53,33.33333333,500,56,36.66666667,,,
14:01:37,511,53,33.33333333,496,56,33.33333333,,,
14:01:38,524,53,30,487,55,33.33333333,,,
14:01:39,500,53,30,485,55,30,,,
14:01:40,496,52,30,496,55,30,,,
14:01:41,498,52,26.66666667,513,56,26.66666667,,,
14:01:42,535,53,30,512,56,23.33333333,,,
14:01:43,492,54,33.33333333,507,57,26.66666667,,,
14:01:44,491,53,36.66666667,505,57,30,,,
14:01:45,498,54,40,508,57,30,,,
14:01:46,499,55,43.33333333,505,57,30,,,
14:01:47,494,57,46.66666667,502,58,30,,,
14:01:48,499,57,43.33333333,507,58,30,,,
14:01:49,502,58,46.66666667,501,59,30,,,
14:01:50,499,60,46.66666667,498,60,33.33333333,,,
14:01:51,502,59,46.66666667,497,62,33.33333333,,,
14:01:52,501,59,46.66666667,502,62,30,,,
14:01:53,505,59,46.66666667,,,,,,
