Time,Signal,BPM,Emotion
8:31:35,0,0,0.0
8:31:36,0,0,0.0
8:31:37,486,0,0.0
8:31:38,488,88,0.0
8:31:39,486,88,0.0
8:31:40,550,87,0.0
8:31:41,500,87,0.0
8:31:42,566,88,0.0
8:31:43,486,89,0.0
8:31:44,506,92,0.0
8:31:45,543,93,0.0
8:31:46,477,91,0.0
8:31:47,482,90,0.0
8:31:48,491,88,0.0
8:31:49,611,85,0.0
8:31:50,504,83,0.0
8:31:51,467,81,0.0
8:31:52,481,78,0.0
8:31:53,542,76,0.0
8:31:54,515,76,0.0
8:31:55,491,76,0.0
8:31:56,651,77,0.0
8:31:57,502,77,0.0
8:31:58,477,76,0.0
8:31:59,500,76,0.0
8:32:0,481,78,0.0
8:32:1,481,79,0.0
8:32:2,488,80,0.0
8:32:3,465,80,0.0
8:32:4,601,83,0.0
8:32:5,470,85,0.0
8:32:6,480,90,0.0
8:32:7,416,93,30.0
8:32:8,472,94,26.666666666666668
8:32:9,573,94,30.0
8:32:10,437,92,33.33333333333333
8:32:11,469,89,36.666666666666664
8:32:12,492,87,36.666666666666664
8:32:13,475,83,33.33333333333333
8:32:14,474,81,33.33333333333333
8:32:15,495,79,30.0
8:32:16,496,79,26.666666666666668
8:32:17,497,81,30.0
8:32:18,464,83,30.0
8:32:19,482,83,33.33333333333333
8:32:20,496,82,36.666666666666664
8:32:22,590,81,36.666666666666664
8:32:23,491,82,36.666666666666664
8:32:24,477,84,40.0
8:32:25,551,85,43.333333333333336
8:32:26,493,87,43.333333333333336
8:32:27,482,87,46.666666666666664
8:32:28,712,88,50.0
8:32:29,483,89,50.0
8:32:30,550,89,53.333333333333336
8:32:31,454,86,50.0
8:32:32,483,84,53.333333333333336
8:32:33,498,83,50.0
8:32:34,474,83,50.0
8:32:35,492,84,46.666666666666664
8:32:36,456,83,46.666666666666664
8:32:37,478,82,43.333333333333336
8:32:38,497,81,40.0
8:32:39,494,82,40.0
8:32:40,497,82,40.0
8:32:41,451,82,36.666666666666664
8:32:42,500,83,33.33333333333333
8:32:43,499,87,33.33333333333333
8:32:44,464,92,33.33333333333333
8:32:45,490,93,33.33333333333333
8:32:46,577,92,33.33333333333333
8:32:47,493,92,36.666666666666664
8:32:48,500,91,33.33333333333333
8:32:49,460,88,33.33333333333333
8:32:50,495,87,30.0
8:32:51,480,86,26.666666666666668
8:32:52,487,86,26.666666666666668
8:32:53,773,85,26.666666666666668
8:32:54,429,84,26.666666666666668
8:32:55,485,81,23.333333333333332
8:32:56,493,80,20.0
8:32:57,440,77,16.666666666666664
8:32:58,474,77,20.0
8:32:59,437,78,16.666666666666664
