Time,Signal,BPM,Emotion,,,,,,
14:49:24,500,63,53.33333333,501,60,13.33333333,,,
14:49:25,500,63,53.33333333,500,60,10,,,
14:49:26,502,63,56.66666667,501,60,10,,,
14:49:27,504,63,56.66666667,501,60,10,,,
14:49:28,502,62,56.66666667,498,61,10,,,
14:49:29,503,62,56.66666667,497,61,10,,,
14:49:30,504,61,56.66666667,499,61,10,,,
14:49:31,503,61,56.66666667,500,61,10,,,
14:49:32,502,61,60,500,61,10,,,
14:49:33,500,61,56.66666667,498,60,10,,,
14:49:34,532,62,56.66666667,501,60,10,,,
14:49:35,542,61,60,503,61,10,,,
14:49:36,530,62,60,532,62,10,,,
14:49:37,536,62,56.66666667,519,64,10,,,
14:49:38,533,62,60,500,65,10,,,
14:49:39,540,62,56.66666667,552,68,6.666666667,,,
14:49:40,537,62,53.33333333,530,68,10,,,
14:49:41,534,62,53.33333333,517,68,13.33333333,,,
14:49:42,519,62,50,512,68,16.66666667,,,
14:49:43,508,62,50,510,67,20,,,
14:49:44,499,63,50,508,70,20,,,
14:49:45,533,66,53.33333333,510,78,20,,,
14:49:46,501,67,53.33333333,521,76,23.33333333,,,
14:49:47,508,68,53.33333333,535,74,26.66666667,,,
14:49:48,502,70,53.33333333,545,74,26.66666667,,,
14:49:49,502,71,53.33333333,531,75,26.66666667,,,
14:49:50,502,71,50,507,76,26.66666667,,,
14:49:51,499,70,50,495,77,26.66666667,,,
14:49:52,500,69,50,505,73,30,,,
14:49:53,500,66,50,513,69,30,,,
14:49:54,501,64,50,501,64,30,,,
14:49:55,503,62,50,501,62,30,,,
14:49:56,512,60,46.66666667,499,62,30,,,
14:49:57,512,60,43.33333333,495,62,30,,,
14:49:58,513,58,43.33333333,493,62,30,,,
14:49:59,501,58,43.33333333,495,61,30,,,
14:50:00,496,58,43.33333333,499,61,30,,,
14:50:01,496,58,43.33333333,501,61,30,,,
14:50:02,495,59,40,500,61,33.33333333,,,
14:50:03,495,59,40,499,60,33.33333333,,,
14:50:04,496,59,36.66666667,500,60,33.33333333,,,
14:50:05,497,61,36.66666667,502,60,33.33333333,,,
14:50:06,498,62,40,502,61,30,,,
14:50:07,517,63,40,503,60,30,,,
14:50:08,526,63,43.33333333,504,61,30,,,
14:50:09,537,63,46.66666667,500,61,26.66666667,,,
14:50:10,516,63,46.66666667,499,62,26.66666667,,,
14:50:11,500,63,46.66666667,499,62,23.33333333,,,
14:50:12,499,62,50,505,62,20,,,
14:50:13,498,62,50,525,62,23.33333333,,,
14:50:14,502,62,46.66666667,540,62,20,,,
14:50:15,501,61,43.33333333,545,62,16.66666667,,,
14:50:16,503,59,40,509,63,13.33333333,,,
14:50:17,500,58,36.66666667,512,64,16.66666667,,,
14:50:18,498,57,33.33333333,504,64,20,,,
14:50:19,495,57,30,504,65,20,,,
14:50:20,493,57,30,548,67,20,,,
14:50:21,500,57,26.66666667,500,69,16.66666667,,,
14:50:22,501,58,26.66666667,496,71,20,,,
14:50:23,498,58,26.66666667,492,76,20,,,
14:50:24,497,58,26.66666667,490,78,23.33333333,,,
14:50:25,496,58,26.66666667,526,80,23.33333333,,,
14:50:26,501,58,26.66666667,501,80,23.33333333,,,
14:50:27,505,58,26.66666667,507,79,26.66666667,,,
14:50:28,515,58,23.33333333,506,77,30,,,
14:50:29,513,58,23.33333333,503,74,33.33333333,,,
14:50:30,514,58,23.33333333,494,71,33.33333333,,,
14:50:31,512,58,23.33333333,501,69,33.33333333,,,
14:50:32,504,57,23.33333333,513,67,30,,,
14:50:33,501,57,23.33333333,522,65,30,,,
14:50:34,500,57,20,512,63,30,,,
14:50:35,519,57,20,491,62,30,,,
14:50:36,530,57,20,495,61,30,,,
14:50:37,537,58,16.66666667,499,62,30,,,
14:50:38,545,58,13.33333333,503,62,30,,,
14:50:39,548,58,13.33333333,503,62,30,,,
14:50:40,523,58,13.33333333,502,62,26.66666667,,,
14:50:42,516,57,13.33333333,503,62,26.66666667,,,
14:50:43,531,58,16.66666667,503,62,26.66666667,,,
14:50:44,525,59,16.66666667,500,62,23.33333333,,,
14:50:45,506,60,20,498,62,26.66666667,,,
14:50:46,501,62,23.33333333,499,61,26.66666667,,,
14:50:47,504,64,26.66666667,500,61,30,,,
14:50:48,505,65,26.66666667,502,60,26.66666667,,,
14:50:49,518,66,30,500,60,23.33333333,,,
14:50:50,542,67,33.33333333,501,60,26.66666667,,,
14:50:51,514,67,33.33333333,497,60,26.66666667,,,
14:50:52,511,68,33.33333333,501,61,26.66666667,,,
14:50:53,493,69,33.33333333,501,61,23.33333333,,,
14:50:54,532,70,33.33333333,504,60,23.33333333,,,
14:50:55,501,70,33.33333333,505,60,20,,,
14:50:56,508,69,33.33333333,504,60,20,,,
14:50:57,510,68,36.66666667,501,60,20,,,
14:50:58,505,68,40,503,60,16.66666667,,,
14:50:59,506,68,40,502,60,13.33333333,,,
14:51:00,503,67,40,504,60,10,,,
14:51:01,498,66,40,502,60,13.33333333,,,
14:51:02,500,64,40,512,60,13.33333333,,,
14:51:03,503,62,40,543,60,13.33333333,,,
14:51:04,501,61,40,538,61,16.66666667,,,
14:51:05,508,60,40,540,60,16.66666667,,,
14:51:06,491,61,43.33333333,538,60,20,,,
14:51:07,491,61,43.33333333,521,60,20,,,
14:51:08,493,61,46.66666667,502,60,20,,,
14:51:09,493,61,46.66666667,501,60,20,,,
14:51:10,495,61,46.66666667,503,59,23.33333333,,,
14:51:11,498,61,43.33333333,503,59,23.33333333,,,
14:51:12,505,60,40,501,59,26.66666667,,,
14:51:13,512,60,36.66666667,499,59,26.66666667,,,
14:51:14,503,60,33.33333333,505,58,30,,,
14:51:15,499,60,33.33333333,501,58,33.33333333,,,
14:51:16,496,60,30,505,58,30,,,
14:51:17,501,60,26.66666667,504,58,30,,,
14:51:18,513,61,26.66666667,507,59,30,,,
14:51:19,508,65,23.33333333,505,60,30,,,
14:51:20,504,67,23.33333333,502,60,33.33333333,,,
14:51:21,508,68,23.33333333,501,60,30,,,
14:51:22,503,68,26.66666667,498,60,30,,,
14:51:23,501,68,30,501,60,30,,,
14:51:24,501,67,26.66666667,505,60,30,,,
14:51:25,501,67,26.66666667,506,60,30,,,
14:51:26,502,66,26.66666667,504,60,30,,,
14:51:27,500,65,23.33333333,528,60,33.33333333,,,
14:51:28,502,64,20,536,60,36.66666667,,,
14:51:29,501,62,20,502,61,40,,,
14:51:30,500,60,20,506,62,43.33333333,,,
14:51:31,502,60,20,508,62,46.66666667,,,
14:51:32,501,61,20,509,63,43.33333333,,,
14:51:33,503,61,20,512,62,43.33333333,,,
14:51:34,500,61,20,504,62,46.66666667,,,
14:51:35,499,61,20,500,63,43.33333333,,,
