Time,Signal,BPM,Emotion
10:50:53,0,0,0.0
10:50:54,0,0,0.0
10:50:55,510,68,0.0
10:50:56,498,68,0.0
10:50:57,498,68,0.0
10:50:58,492,68,0.0
10:50:59,544,68,0.0
10:51:0,516,68,0.0
10:51:1,495,68,0.0
10:51:2,556,83,0.0
10:51:3,507,83,0.0
10:51:4,496,83,0.0
10:51:5,558,82,0.0
10:51:6,501,79,0.0
10:51:7,507,78,0.0
10:51:8,498,77,0.0
10:51:9,499,76,0.0
10:51:10,496,74,0.0
10:51:11,498,72,0.0
10:51:12,498,70,0.0
10:51:13,495,68,0.0
10:51:14,495,65,0.0
10:51:15,495,64,0.0
10:51:16,494,63,0.0
10:51:17,498,62,0.0
10:51:18,505,61,0.0
10:51:19,497,60,0.0
10:51:20,494,59,0.0
10:51:21,489,59,0.0
10:51:22,528,60,0.0
10:51:23,507,60,0.0
10:51:24,493,60,0.0
10:51:25,492,60,0.0
10:51:26,494,60,0.0
10:51:27,493,61,0.0
10:51:28,495,61,0.0
10:51:29,496,60,0.0
10:51:30,497,60,50.0
10:51:31,498,59,50.0
10:51:32,497,58,50.0
10:51:33,501,58,50.0
10:51:34,502,57,50.0
10:51:35,499,58,46.666666666666664
10:51:36,494,57,46.666666666666664
10:51:37,487,57,43.333333333333336
10:51:38,484,57,43.333333333333336
10:51:39,500,57,40.0
10:51:40,529,57,40.0
10:51:41,492,57,36.666666666666664
10:51:42,483,58,40.0
10:51:43,489,59,40.0
10:51:44,493,60,40.0
10:51:45,495,60,40.0
10:51:46,527,63,36.666666666666664
10:51:47,507,64,40.0
10:51:48,500,65,40.0
10:51:49,507,66,36.666666666666664
10:51:50,504,66,40.0
10:51:51,503,67,36.666666666666664
10:51:52,502,68,36.666666666666664
10:51:53,502,68,36.666666666666664
10:51:54,501,67,36.666666666666664
10:51:55,539,65,36.666666666666664
10:51:56,511,67,40.0
10:51:57,498,68,40.0
10:51:58,499,68,36.666666666666664
10:51:59,501,66,36.666666666666664
10:52:0,501,66,36.666666666666664
10:52:1,501,65,36.666666666666664
10:52:2,501,65,36.666666666666664
10:52:3,501,66,36.666666666666664
10:52:4,502,65,36.666666666666664
10:52:5,502,64,33.33333333333333
10:52:6,502,63,33.33333333333333
10:52:7,502,61,33.33333333333333
10:52:8,504,61,33.33333333333333
10:52:9,508,61,30.0
10:52:10,517,61,30.0
10:52:11,505,63,26.666666666666668
10:52:12,508,63,30.0
10:52:13,505,64,33.33333333333333
10:52:14,506,64,33.33333333333333
10:52:15,515,58,36.666666666666664
10:52:16,508,57,40.0
10:52:17,500,58,40.0
10:52:18,497,58,40.0
10:52:19,498,58,43.333333333333336
10:52:20,499,58,40.0
10:52:21,534,58,43.333333333333336
10:52:22,505,59,46.666666666666664
10:52:23,507,59,50.0
10:52:24,507,65,50.0
10:52:25,506,66,50.0
10:52:26,506,66,50.0
10:52:27,504,66,46.666666666666664
10:52:28,504,67,43.333333333333336
10:52:29,511,68,46.666666666666664
10:52:30,512,67,43.333333333333336
10:52:31,509,65,43.333333333333336
10:52:32,514,65,43.333333333333336
10:52:33,515,65,43.333333333333336
10:52:34,511,71,46.666666666666664
10:52:35,512,72,50.0
10:52:36,504,72,53.333333333333336
10:52:37,505,72,53.333333333333336
10:52:39,503,71,53.333333333333336
10:52:40,516,73,53.333333333333336
10:52:41,524,74,56.666666666666664
10:52:42,508,74,56.666666666666664
10:52:43,504,72,56.666666666666664
10:52:44,509,67,53.333333333333336
10:52:45,509,66,50.0
10:52:46,507,65,46.666666666666664
10:52:47,507,65,43.333333333333336
10:52:48,504,65,40.0
10:52:49,506,64,40.0
10:52:50,504,67,36.666666666666664
10:52:51,502,69,40.0
10:52:52,502,70,40.0
10:52:53,502,70,40.0
10:52:54,504,70,40.0
10:52:55,505,70,40.0
10:52:56,506,70,40.0
10:52:57,508,70,40.0
10:52:58,510,70,40.0
10:52:59,512,70,40.0
10:53:0,510,70,40.0
10:53:1,504,70,40.0
10:53:2,501,61,40.0
10:53:3,502,61,40.0
10:53:4,499,61,36.666666666666664
10:53:5,493,61,36.666666666666664
10:53:6,500,61,36.666666666666664
10:53:7,499,61,36.666666666666664
10:53:8,499,61,36.666666666666664
10:53:9,498,62,33.33333333333333
10:53:10,517,63,33.33333333333333
10:53:11,507,64,33.33333333333333
10:53:12,504,67,36.666666666666664
10:53:13,511,68,36.666666666666664
10:53:14,521,69,33.33333333333333
10:53:15,519,69,33.33333333333333
10:53:16,513,69,33.33333333333333
10:53:17,512,69,33.33333333333333
10:53:18,509,68,36.666666666666664
10:53:19,514,68,36.666666666666664
10:53:20,506,67,36.666666666666664
10:53:21,504,65,36.666666666666664
10:53:22,504,64,40.0
10:53:23,505,63,40.0
10:53:24,505,63,40.0
