Time,Signal,BPM,Emotion
14:7:9,0,0,0.0
14:7:10,0,0,0.0
14:7:11,509,69,0.0
14:7:12,506,69,0.0
14:7:13,511,69,0.0
14:7:14,543,69,0.0
14:7:15,503,69,0.0
14:7:16,497,69,0.0
14:7:17,547,69,0.0
14:7:18,499,69,0.0
14:7:19,489,49,0.0
14:7:20,497,49,0.0
14:7:21,503,49,0.0
14:7:22,507,49,0.0
14:7:23,516,49,0.0
14:7:24,542,49,0.0
14:7:25,503,71,0.0
14:7:26,503,70,0.0
14:7:27,518,70,0.0
14:7:28,485,70,0.0
14:7:29,489,69,0.0
14:7:30,493,68,0.0
14:7:31,495,67,0.0
14:7:32,495,66,0.0
14:7:33,496,66,0.0
14:7:34,494,65,0.0
14:7:35,494,63,0.0
14:7:36,496,63,0.0
14:7:37,498,62,0.0
14:7:38,498,61,0.0
14:7:39,497,60,0.0
14:7:40,501,60,0.0
14:7:41,501,60,0.0
14:7:42,496,60,0.0
14:7:43,529,60,50.0
14:7:44,497,61,50.0
14:7:45,504,63,50.0
14:7:46,496,65,50.0
14:7:47,500,66,46.666666666666664
14:7:48,564,69,50.0
14:7:49,557,69,46.666666666666664
14:7:50,498,69,46.666666666666664
14:7:51,508,70,46.666666666666664
14:7:52,498,71,46.666666666666664
14:7:53,495,69,46.666666666666664
14:7:54,502,68,46.666666666666664
14:7:55,501,68,46.666666666666664
14:7:56,501,68,43.333333333333336
14:7:57,504,66,46.666666666666664
14:7:58,539,66,50.0
14:7:59,511,67,53.333333333333336
14:8:0,495,68,53.333333333333336
14:8:1,499,68,53.333333333333336
14:8:2,562,69,56.666666666666664
14:8:3,576,68,60.0
14:8:4,472,68,60.0
14:8:5,500,70,60.0
14:8:6,499,72,63.33333333333333
14:8:7,497,72,63.33333333333333
14:8:8,497,71,60.0
14:8:9,497,69,63.33333333333333
14:8:10,495,66,66.66666666666666
14:8:11,495,65,63.33333333333333
14:8:12,494,64,60.0
14:8:13,495,63,60.0
14:8:14,497,61,56.666666666666664
14:8:15,498,60,53.333333333333336
14:8:16,486,58,53.333333333333336
14:8:17,480,57,50.0
14:8:18,511,56,50.0
14:8:19,509,56,46.666666666666664
14:8:20,458,56,43.333333333333336
14:8:21,566,55,40.0
14:8:22,527,55,40.0
14:8:23,495,55,40.0
14:8:24,491,55,36.666666666666664
14:8:25,490,54,36.666666666666664
14:8:26,493,54,36.666666666666664
14:8:27,490,54,33.33333333333333
14:8:28,472,54,30.0
14:8:30,481,54,26.666666666666668
14:8:31,502,54,23.333333333333332
14:8:32,514,55,23.333333333333332
14:8:33,507,55,20.0
14:8:34,496,56,16.666666666666664
14:8:35,485,56,16.666666666666664
14:8:36,547,56,20.0
14:8:37,517,56,20.0
14:8:38,503,55,16.666666666666664
14:8:39,501,56,16.666666666666664
14:8:40,500,56,20.0
14:8:41,504,55,20.0
14:8:42,500,55,16.666666666666664
14:8:43,515,54,13.333333333333334
14:8:44,527,53,13.333333333333334
14:8:45,530,53,13.333333333333334
14:8:46,500,52,13.333333333333334
14:8:47,498,52,13.333333333333334
14:8:48,500,52,13.333333333333334
14:8:49,500,52,13.333333333333334
14:8:50,496,52,13.333333333333334
14:8:51,495,52,13.333333333333334
14:8:52,504,53,16.666666666666664
14:8:53,505,53,20.0
14:8:54,550,53,23.333333333333332
14:8:55,504,53,23.333333333333332
14:8:56,499,53,23.333333333333332
14:8:57,498,52,26.666666666666668
14:8:58,506,52,26.666666666666668
14:8:59,506,51,23.333333333333332
14:9:0,527,51,23.333333333333332
14:9:1,499,51,23.333333333333332
14:9:2,498,51,23.333333333333332
14:9:3,495,51,23.333333333333332
14:9:4,493,51,26.666666666666668
14:9:5,496,51,26.666666666666668
14:9:6,493,51,30.0
14:9:7,496,52,30.0
14:9:8,507,52,30.0
14:9:9,534,53,33.33333333333333
14:9:10,536,53,30.0
14:9:11,505,53,30.0
14:9:12,504,54,33.33333333333333
14:9:13,505,54,33.33333333333333
14:9:14,507,56,30.0
14:9:15,533,63,30.0
14:9:16,541,63,33.33333333333333
14:9:17,541,65,36.666666666666664
14:9:18,531,66,36.666666666666664
14:9:19,534,66,36.666666666666664
14:9:20,500,66,36.666666666666664
14:9:21,501,66,40.0
14:9:22,502,66,40.0
14:9:23,501,65,40.0
14:9:24,513,63,40.0
14:9:25,494,60,43.333333333333336
14:9:26,500,62,43.333333333333336
14:9:27,500,63,40.0
14:9:28,497,68,36.666666666666664
14:9:29,497,70,36.666666666666664
14:9:30,497,73,33.33333333333333
14:9:31,491,78,33.33333333333333
14:9:32,498,79,33.33333333333333
14:9:33,503,83,33.33333333333333
14:9:34,506,93,36.666666666666664
14:9:35,525,105,40.0
14:9:36,567,102,40.0
14:9:37,567,97,43.333333333333336
14:9:38,582,93,43.333333333333336
14:9:39,600,89,43.333333333333336
14:9:40,609,83,43.333333333333336
14:9:41,569,77,40.0
14:9:42,462,71,40.0
14:9:43,471,69,40.0
14:9:44,474,64,43.333333333333336
14:9:45,464,61,43.333333333333336
14:9:46,474,60,40.0
14:9:47,469,60,36.666666666666664
14:9:48,469,60,36.666666666666664
14:9:49,478,60,36.666666666666664
14:9:50,570,60,36.666666666666664
14:9:51,575,59,33.33333333333333
14:9:52,499,59,33.33333333333333
14:9:53,494,58,33.33333333333333
14:9:54,494,57,33.33333333333333
14:9:55,477,56,33.33333333333333
14:9:56,516,55,26.666666666666668
14:9:57,501,54,26.666666666666668
14:9:58,458,54,26.666666666666668
14:9:59,639,54,26.666666666666668
14:10:0,695,54,26.666666666666668
14:10:1,580,54,26.666666666666668
14:10:2,496,54,26.666666666666668
