Time,Signal,BPM,Emotion,,,,,,
13:34:47,0,0,0,0,0,0,,11.1023646,9.764582709
13:34:49,0,0,0,0,0,0,,,
13:34:50,734,73,0,495,66,0,,,
13:34:51,417,72,0,500,78,0,,,
13:34:52,456,72,0,510,77,0,,,
13:34:53,690,75,0,512,77,0,,,
13:34:54,471,75,0,492,77,0,,,
13:34:55,479,75,0,499,76,0,,,
13:34:56,472,75,0,577,75,0,,,
13:34:57,709,76,0,473,74,0,,,
13:34:58,489,77,0,523,73,0,,,
13:34:59,469,78,0,474,72,0,,,
13:35:00,458,79,0,493,71,0,,,
13:35:01,465,78,0,496,71,0,,,
13:35:02,610,81,0,492,70,0,,,
13:35:03,477,83,0,495,69,0,,,
13:35:04,586,86,0,646,67,0,,,
13:35:05,487,86,0,604,66,0,,,
13:35:06,543,86,43.33333333,447,66,0,,,
13:35:07,505,87,40,525,66,0,,,
13:35:08,495,88,36.66666667,486,67,0,,,
13:35:09,478,88,33.33333333,495,68,0,,,
13:35:10,477,87,33.33333333,493,68,0,,,
13:35:11,479,86,30,495,67,0,,,
13:35:12,507,85,33.33333333,617,67,0,,,
13:35:13,470,83,33.33333333,596,67,0,,,
13:35:14,471,81,33.33333333,502,66,43.33333333,,,
13:35:15,646,79,33.33333333,457,66,43.33333333,,,
13:35:16,496,78,33.33333333,521,66,40,,,
13:35:17,453,76,36.66666667,517,65,36.66666667,,,
13:35:18,483,75,36.66666667,483,63,33.33333333,,,
13:35:19,645,73,33.33333333,478,63,30,,,
13:35:20,432,74,33.33333333,491,64,30,,,
13:35:21,475,74,36.66666667,495,64,26.66666667,,,
13:35:22,469,75,36.66666667,491,64,26.66666667,,,
13:35:23,472,73,36.66666667,541,65,30,,,
13:35:24,477,72,40,568,65,30,,,
13:35:25,660,71,40,461,65,30,,,
13:35:26,495,72,43.33333333,497,65,30,,,
13:35:27,477,73,46.66666667,502,66,26.66666667,,,
13:35:28,775,73,46.66666667,478,66,26.66666667,,,
13:35:29,442,72,50,486,66,26.66666667,,,
13:35:30,465,71,53.33333333,498,66,26.66666667,,,
13:35:31,448,70,53.33333333,495,66,26.66666667,,,
13:35:32,434,70,50,529,66,26.66666667,,,
13:35:33,508,70,50,665,66,26.66666667,,,
13:35:34,754,71,50,586,65,26.66666667,,,
13:35:35,493,72,50,492,66,26.66666667,,,
13:35:36,467,74,46.66666667,476,67,30,,,
13:35:37,462,72,46.66666667,484,67,30,,,
13:35:38,483,71,50,494,67,30,,,
13:35:39,493,71,50,510,69,30,,,
13:35:40,500,71,50,508,70,30,,,
13:35:41,505,70,50,490,71,26.66666667,,,
13:35:42,504,68,46.66666667,531,72,26.66666667,,,
13:35:43,497,66,46.66666667,565,73,26.66666667,,,
13:35:44,496,63,43.33333333,496,73,26.66666667,,,
13:35:45,490,61,43.33333333,481,74,30,,,
13:35:46,490,59,43.33333333,521,76,33.33333333,,,
13:35:47,489,60,40,560,74,33.33333333,,,
13:35:48,534,62,40,492,74,36.66666667,,,
13:35:49,469,62,43.33333333,556,75,40,,,
13:35:50,501,63,46.66666667,552,75,43.33333333,,,
13:35:51,523,63,46.66666667,487,74,46.66666667,,,
13:35:52,496,64,43.33333333,474,74,43.33333333,,,
13:35:53,486,65,46.66666667,493,73,46.66666667,,,
