Time,Signal,BPM,Emotion,,,,,,
14:17:26,0,0,0,0,0,0,,10.79105448,9.023569024
14:17:27,0,0,0,0,0,0,,,
14:17:28,503,71,0,517,80,0,,,
14:17:29,504,71,0,507,80,0,,,
14:17:30,503,71,0,505,80,0,,,
14:17:31,530,71,0,505,80,0,,,
14:17:32,507,71,0,504,80,0,,,
14:17:33,505,71,0,507,80,0,,,
14:17:34,503,71,0,511,80,0,,,
14:17:35,502,71,0,510,80,0,,,
14:17:36,506,71,0,508,80,0,,,
14:17:37,538,71,0,531,80,0,,,
14:17:38,507,71,0,513,80,0,,,
14:17:39,507,71,0,499,80,0,,,
14:17:40,503,71,0,501,80,0,,,
14:17:41,505,71,0,502,80,0,,,
14:17:42,506,71,0,506,80,0,,,
14:17:43,507,71,0,550,80,0,,,
14:17:44,502,71,0,530,68,0,,,
14:17:45,519,71,0,501,67,0,,,
14:17:46,544,32,0,494,67,0,,,
14:17:47,544,32,0,510,67,0,,,
14:17:48,551,35,0,498,68,0,,,
14:17:49,542,37,0,496,68,0,,,
14:17:50,501,40,0,496,68,0,,,
14:17:51,502,43,0,498,67,0,,,
14:17:52,497,46,0,499,66,0,,,
14:17:53,498,49,0,501,65,0,,,
14:17:54,500,53,0,503,64,0,,,
14:17:55,504,58,0,504,64,0,,,
14:17:56,503,64,0,503,63,0,,,
14:17:57,509,67,0,501,62,0,,,
14:17:58,503,69,0,503,61,0,,,
14:17:59,523,72,0,506,60,0,,,
14:18:00,500,74,0,507,60,0,,,
14:18:01,525,80,0,504,60,0,,,
14:18:02,508,82,0,504,60,0,,,
14:18:03,509,82,0,502,60,0,,,
14:18:04,505,89,0,502,59,56.66666667,,,
14:18:05,504,89,73.33333333,502,59,53.33333333,,,
14:18:06,505,86,73.33333333,500,59,53.33333333,,,
14:18:07,511,82,73.33333333,501,59,50,,,
14:18:08,507,80,73.33333333,502,59,50,,,
14:18:09,499,79,70,504,59,46.66666667,,,
14:18:10,501,78,70,505,59,46.66666667,,,
14:18:11,502,78,66.66666667,503,59,43.33333333,,,
14:18:12,521,71,63.33333333,504,59,43.33333333,,,
14:18:13,512,70,63.33333333,503,60,43.33333333,,,
14:18:14,504,69,63.33333333,502,60,40,,,
14:18:15,508,69,63.33333333,503,60,36.66666667,,,
14:18:16,511,67,60,501,60,40,,,
14:18:17,510,66,56.66666667,502,60,36.66666667,,,
14:18:18,502,66,53.33333333,503,60,33.33333333,,,
14:18:19,507,67,50,502,60,33.33333333,,,
14:18:20,503,69,50,504,59,30,,,
14:18:21,508,69,50,503,59,26.66666667,,,
14:18:22,505,69,50,503,59,26.66666667,,,
14:18:23,507,68,46.66666667,504,58,26.66666667,,,
14:18:24,507,68,50,505,58,26.66666667,,,
14:18:25,508,68,50,504,58,26.66666667,,,
14:18:26,507,69,50,506,58,26.66666667,,,
14:18:28,506,68,46.66666667,505,58,26.66666667,,,
14:18:29,521,67,43.33333333,503,58,20,,,
14:18:30,508,66,46.66666667,503,58,23.33333333,,,
14:18:31,505,67,50,504,59,20,,,
14:18:32,505,68,46.66666667,506,59,20,,,
14:18:33,505,67,46.66666667,508,61,16.66666667,,,
14:18:34,507,67,46.66666667,509,65,16.66666667,,,
14:18:35,504,66,43.33333333,507,66,20,,,
14:18:36,503,66,40,506,67,23.33333333,,,
14:18:37,501,65,36.66666667,505,67,23.33333333,,,
14:18:38,517,65,33.33333333,506,67,26.66666667,,,
14:18:39,506,65,36.66666667,507,67,26.66666667,,,
14:18:40,504,66,40,507,67,23.33333333,,,
14:18:41,531,69,40,507,66,23.33333333,,,
14:18:42,517,69,43.33333333,506,67,20,,,
14:18:43,507,70,43.33333333,525,62,20,,,
14:18:44,510,71,43.33333333,507,63,23.33333333,,,
14:18:45,508,70,46.66666667,507,63,23.33333333,,,
14:18:46,508,69,50,505,64,23.33333333,,,
14:18:47,511,68,53.33333333,504,65,26.66666667,,,
14:18:48,509,66,53.33333333,505,64,26.66666667,,,
14:18:49,506,64,53.33333333,508,65,30,,,
14:18:50,512,62,53.33333333,507,65,33.33333333,,,
14:18:51,502,62,53.33333333,505,65,33.33333333,,,
14:18:52,504,63,56.66666667,505,65,33.33333333,,,
14:18:53,529,64,60,507,63,36.66666667,,,
14:18:54,520,65,60,505,63,40,,,
14:18:55,507,66,60,507,67,43.33333333,,,
14:18:56,510,66,56.66666667,524,79,46.66666667,,,
14:18:57,510,67,56.66666667,520,80,50,,,
14:18:58,511,67,60,514,80,53.33333333,,,
14:18:59,509,67,60,509,91,56.66666667,,,
14:19:00,505,66,56.66666667,511,93,56.66666667,,,
14:19:01,505,65,53.33333333,504,92,60,,,
14:19:02,538,66,56.66666667,506,86,63.33333333,,,
14:19:03,521,66,56.66666667,507,82,66.66666667,,,
14:19:04,518,65,56.66666667,504,75,63.33333333,,,
14:19:05,522,65,60,505,71,60,,,
14:19:06,528,65,63.33333333,507,78,60,,,
14:19:07,524,64,66.66666667,505,74,63.33333333,,,
14:19:08,507,65,70,504,69,63.33333333,,,
14:19:09,517,65,70,503,68,63.33333333,,,
14:19:10,514,64,66.66666667,500,67,66.66666667,,,
14:19:11,514,63,70,502,66,66.66666667,,,
14:19:12,507,62,66.66666667,502,66,66.66666667,,,
14:19:13,505,61,66.66666667,501,66,66.66666667,,,
14:19:14,501,62,63.33333333,502,68,63.33333333,,,
14:19:15,502,62,60,510,66,66.66666667,,,
14:19:16,506,63,60,522,62,66.66666667,,,
14:19:17,504,64,60,527,63,63.33333333,,,
14:19:18,506,64,60,535,63,63.33333333,,,
14:19:19,506,64,60,530,63,63.33333333,,,
14:19:20,522,64,60,532,63,63.33333333,,,
14:19:21,521,63,60,518,63,63.33333333,,,
14:19:22,515,63,60,508,63,63.33333333,,,
14:19:23,521,63,56.66666667,504,62,60,,,
14:19:24,520,63,56.66666667,507,62,56.66666667,,,
14:19:25,524,62,56.66666667,509,61,53.33333333,,,
14:19:26,512,62,56.66666667,510,61,50,,,
14:19:27,507,61,60,510,74,46.66666667,,,
14:19:28,507,61,60,512,76,46.66666667,,,
14:19:29,507,61,56.66666667,512,76,46.66666667,,,
14:19:30,507,61,56.66666667,510,76,46.66666667,,,
14:19:31,510,61,56.66666667,511,76,43.33333333,,,
14:19:32,508,61,56.66666667,510,76,40,,,
14:19:33,508,61,53.33333333,511,76,36.66666667,,,
14:19:34,506,61,50,507,82,36.66666667,,,
14:19:35,511,60,46.66666667,506,76,40,,,
14:19:36,509,60,43.33333333,508,69,40,,,
14:19:37,510,59,43.33333333,507,67,36.66666667,,,
14:19:38,510,59,40,509,67,33.33333333,,,
14:19:39,509,59,36.66666667,510,67,33.33333333,,,
14:19:40,517,58,36.66666667,508,67,30,,,
14:19:41,525,58,33.33333333,506,67,30,,,
