Time,Signal,BPM,Emotion,,,,,,,,
10:21:27,499,64,36.66666667,,10:27:49,507,65,40,,,
10:21:28,496,65,33.33333333,,10:27:50,490,66,43.33333333,,,
10:21:29,498,65,30,,10:27:51,497,66,43.33333333,,,
10:21:30,543,66,30,,10:27:52,502,66,43.33333333,,,
10:21:31,540,66,30,,10:27:53,506,66,46.66666667,,,
10:21:32,502,67,30,,10:27:54,507,66,43.33333333,,,
10:21:33,496,68,33.33333333,,10:27:55,506,67,43.33333333,,,
10:21:34,499,68,33.33333333,,10:27:56,542,68,43.33333333,,,
10:21:35,500,68,30,,10:27:57,538,66,46.66666667,,,
10:21:36,499,68,26.66666667,,10:27:58,497,65,46.66666667,,,
10:21:37,533,68,23.33333333,,10:27:59,506,64,43.33333333,,,
10:21:38,545,68,20,,10:28:00,513,64,40,,,
10:21:39,496,67,16.66666667,,10:28:01,497,64,36.66666667,,,
10:21:40,511,68,13.33333333,,10:28:02,500,65,33.33333333,,,
10:21:41,502,67,16.66666667,,10:28:03,502,65,33.33333333,,,
10:21:42,498,67,13.33333333,,10:28:04,499,66,33.33333333,,,
10:21:43,501,67,13.33333333,,10:28:05,500,66,33.33333333,,,
10:21:44,500,67,10,,10:28:06,501,65,30,,,
10:21:45,549,67,10,,10:28:07,511,65,30,,,
10:21:46,517,67,10,,10:28:08,513,65,30,,,
10:21:47,499,67,10,,10:28:09,518,64,30,,,
10:21:48,511,67,10,,10:28:10,532,64,30,,,
10:21:49,504,67,10,,10:28:11,557,62,30,,,
10:21:50,502,67,10,,10:28:12,575,62,30,,,
10:21:51,502,67,13.33333333,,10:28:14,531,62,26.66666667,,,
10:21:52,502,67,16.66666667,,10:28:15,483,62,26.66666667,,,
10:21:53,526,67,16.66666667,,10:28:16,516,62,23.33333333,,,
10:21:54,534,66,16.66666667,,10:28:17,499,63,26.66666667,,,
10:21:55,509,66,16.66666667,,10:28:18,499,64,30,,,
10:21:56,510,67,13.33333333,,10:28:19,496,65,33.33333333,,,
10:21:57,500,67,13.33333333,,10:28:20,497,65,33.33333333,,,
10:21:58,502,68,16.66666667,,10:28:21,507,65,30,,,
10:21:59,504,68,16.66666667,,10:28:22,577,66,26.66666667,,,
10:22:00,500,69,16.66666667,,10:28:23,486,67,26.66666667,,,
10:22:01,497,71,20,,10:28:24,503,67,23.33333333,,,
10:22:02,534,74,23.33333333,,10:28:25,504,66,23.33333333,,,
10:22:03,501,75,23.33333333,,10:28:26,498,66,23.33333333,,,
10:22:04,507,75,23.33333333,,10:28:27,495,67,26.66666667,,,
10:22:05,502,75,23.33333333,,10:28:28,557,67,23.33333333,,,
10:22:06,521,77,23.33333333,,10:28:29,579,67,23.33333333,,,
10:22:07,500,77,23.33333333,,10:28:30,590,67,23.33333333,,,
10:22:08,500,78,23.33333333,,10:28:31,585,66,23.33333333,,,
10:22:09,522,76,26.66666667,,10:28:32,578,65,23.33333333,,,
10:22:10,503,76,30,,10:28:33,537,65,23.33333333,,,
10:22:11,501,77,26.66666667,,10:28:34,485,65,23.33333333,,,
10:22:12,549,80,26.66666667,,10:28:35,509,64,23.33333333,,,
10:22:13,497,79,26.66666667,,10:28:36,491,64,26.66666667,,,
10:22:14,505,78,30,,10:28:37,495,63,26.66666667,,,
10:22:15,499,77,30,,10:28:38,500,64,26.66666667,,,
10:22:16,501,76,30,,10:28:39,495,64,26.66666667,,,
10:22:17,526,75,30,,10:28:40,496,64,26.66666667,,,
10:22:18,511,75,30,,10:28:41,577,66,26.66666667,,,
10:22:19,501,75,30,,10:28:42,502,66,30,,,
10:22:20,497,76,30,,10:28:43,481,66,30,,,
10:22:21,501,78,30,,10:28:44,502,66,33.33333333,,,
10:22:23,535,80,26.66666667,,10:28:45,512,65,33.33333333,,,
10:22:24,510,81,30,,10:28:46,517,65,33.33333333,,,
10:22:25,501,82,30,,10:28:47,498,64,30,,,
10:22:26,510,82,30,,10:28:48,489,64,26.66666667,,,
10:22:27,520,80,33.33333333,,10:28:49,489,64,23.33333333,,,
10:22:28,514,79,36.66666667,,10:28:50,500,64,20,,,
10:22:29,500,77,36.66666667,,10:28:51,502,64,20,,,
10:22:30,502,75,36.66666667,,10:28:52,498,63,20,,,
10:22:31,538,74,36.66666667,,10:28:53,498,63,16.66666667,,,
10:22:32,531,72,33.33333333,,10:28:54,499,63,16.66666667,,,
10:22:33,498,71,33.33333333,,10:28:55,502,63,16.66666667,,,
10:22:34,507,70,30,,10:28:56,539,64,16.66666667,,,
10:22:35,494,70,30,,10:28:57,512,65,16.66666667,,,
10:22:36,501,71,30,,10:28:58,502,67,20,,,
10:22:37,560,71,33.33333333,,10:28:59,503,70,16.66666667,,,
10:22:38,503,71,33.33333333,,10:29:00,499,72,16.66666667,,,
10:22:39,504,70,33.33333333,,10:29:01,501,74,16.66666667,,,
10:22:40,495,70,33.33333333,,10:29:02,500,74,20,,,
10:22:41,493,69,33.33333333,,10:29:03,500,74,23.33333333,,,
10:22:42,494,68,33.33333333,,10:29:04,537,74,23.33333333,,,
10:22:43,496,67,33.33333333,,10:29:05,534,72,23.33333333,,,
10:22:44,502,67,33.33333333,,10:29:06,509,72,20,,,
10:22:45,500,66,33.33333333,,10:29:07,498,71,23.33333333,,,
10:22:46,498,66,33.33333333,,10:29:08,492,72,26.66666667,,,
10:22:47,523,65,33.33333333,,10:29:09,493,73,30,,,
