Time,Signal,BPM,Emotion
14:27:57,0,0,0.0
14:27:58,0,0,0.0
14:27:59,517,80,0.0
14:28:1,507,80,0.0
14:28:2,505,80,0.0
14:28:3,505,80,0.0
14:28:4,504,80,0.0
14:28:5,507,80,0.0
14:28:6,511,80,0.0
14:28:7,510,80,0.0
14:28:8,508,80,0.0
14:28:9,531,80,0.0
14:28:10,513,80,0.0
14:28:11,499,80,0.0
14:28:12,501,80,0.0
14:28:13,502,80,0.0
14:28:14,506,80,0.0
14:28:15,550,80,0.0
14:28:16,530,68,0.0
14:28:17,501,67,0.0
14:28:18,494,67,0.0
14:28:19,510,67,0.0
14:28:20,498,68,0.0
14:28:21,496,68,0.0
14:28:22,496,68,0.0
14:28:23,498,67,0.0
14:28:24,499,66,0.0
14:28:25,501,65,0.0
14:28:26,503,64,0.0
14:28:27,504,64,0.0
14:28:28,503,63,0.0
14:28:29,501,62,0.0
14:28:30,503,61,0.0
14:28:31,506,60,0.0
14:28:32,507,60,0.0
14:28:33,504,60,0.0
14:28:34,504,60,0.0
14:28:35,502,60,0.0
14:28:36,502,59,56.666666666666664
14:28:37,502,59,53.333333333333336
14:28:38,500,59,53.333333333333336
14:28:39,501,59,50.0
14:28:40,502,59,50.0
14:28:41,504,59,46.666666666666664
14:28:42,505,59,46.666666666666664
14:28:43,503,59,43.333333333333336
14:28:44,504,59,43.333333333333336
14:28:45,503,60,43.333333333333336
14:28:46,502,60,40.0
14:28:47,503,60,36.666666666666664
14:28:48,501,60,40.0
14:28:49,502,60,36.666666666666664
14:28:50,503,60,33.33333333333333
14:28:51,502,60,33.33333333333333
14:28:52,504,59,30.0
14:28:53,503,59,26.666666666666668
14:28:54,503,59,26.666666666666668
14:28:55,504,58,26.666666666666668
14:28:56,505,58,26.666666666666668
14:28:57,504,58,26.666666666666668
14:28:58,506,58,26.666666666666668
14:28:59,505,58,26.666666666666668
14:29:0,503,58,20.0
14:29:1,503,58,23.333333333333332
14:29:2,504,59,20.0
14:29:3,506,59,20.0
14:29:4,508,61,16.666666666666664
14:29:5,509,65,16.666666666666664
14:29:6,507,66,20.0
14:29:7,506,67,23.333333333333332
14:29:8,505,67,23.333333333333332
14:29:9,506,67,26.666666666666668
14:29:10,507,67,26.666666666666668
14:29:11,507,67,23.333333333333332
14:29:12,507,66,23.333333333333332
14:29:13,506,67,20.0
14:29:14,525,62,20.0
14:29:15,507,63,23.333333333333332
14:29:16,507,63,23.333333333333332
14:29:17,505,64,23.333333333333332
14:29:18,504,65,26.666666666666668
14:29:19,505,64,26.666666666666668
14:29:20,508,65,30.0
14:29:21,507,65,33.33333333333333
14:29:22,505,65,33.33333333333333
14:29:23,505,65,33.33333333333333
14:29:24,507,63,36.666666666666664
14:29:25,505,63,40.0
14:29:26,507,67,43.333333333333336
14:29:27,524,79,46.666666666666664
14:29:28,520,80,50.0
14:29:29,514,80,53.333333333333336
14:29:30,509,91,56.666666666666664
14:29:31,511,93,56.666666666666664
14:29:32,504,92,60.0
14:29:33,506,86,63.33333333333333
14:29:34,507,82,66.66666666666666
14:29:35,504,75,63.33333333333333
14:29:36,505,71,60.0
14:29:37,507,78,60.0
14:29:39,505,74,63.33333333333333
14:29:40,504,69,63.33333333333333
14:29:41,503,68,63.33333333333333
14:29:42,500,67,66.66666666666666
14:29:43,502,66,66.66666666666666
14:29:44,502,66,66.66666666666666
14:29:45,501,66,66.66666666666666
14:29:46,502,68,63.33333333333333
14:29:47,510,66,66.66666666666666
14:29:48,522,62,66.66666666666666
14:29:49,527,63,63.33333333333333
14:29:50,535,63,63.33333333333333
14:29:51,530,63,63.33333333333333
14:29:52,532,63,63.33333333333333
14:29:53,518,63,63.33333333333333
14:29:54,508,63,63.33333333333333
14:29:55,504,62,60.0
14:29:56,507,62,56.666666666666664
14:29:57,509,61,53.333333333333336
14:29:58,510,61,50.0
14:29:59,510,74,46.666666666666664
14:30:0,512,76,46.666666666666664
14:30:1,512,76,46.666666666666664
14:30:2,510,76,46.666666666666664
14:30:3,511,76,43.333333333333336
14:30:4,510,76,40.0
14:30:5,511,76,36.666666666666664
14:30:6,507,82,36.666666666666664
14:30:7,506,76,40.0
14:30:8,508,69,40.0
14:30:9,507,67,36.666666666666664
14:30:10,509,67,33.33333333333333
14:30:11,510,67,33.33333333333333
14:30:12,508,67,30.0
14:30:13,506,67,30.0
14:30:14,503,67,30.0
14:30:15,503,64,30.0
14:30:16,504,60,30.0
14:30:17,506,61,26.666666666666668
14:30:18,507,61,23.333333333333332
14:30:19,507,64,23.333333333333332
14:30:20,504,68,26.666666666666668
14:30:21,506,68,26.666666666666668
14:30:22,506,68,26.666666666666668
14:30:23,505,71,30.0
14:30:24,506,76,33.33333333333333
14:30:25,507,76,36.666666666666664
14:30:26,505,76,40.0
14:30:27,505,76,40.0
14:30:28,508,72,40.0
14:30:29,513,68,40.0
14:30:30,506,68,36.666666666666664
14:30:31,507,68,36.666666666666664
14:30:32,504,68,33.33333333333333
14:30:33,506,65,33.33333333333333
14:30:34,507,61,36.666666666666664
14:30:35,503,61,40.0
14:30:36,504,60,40.0
14:30:37,509,60,36.666666666666664
14:30:38,509,60,33.33333333333333
14:30:39,512,60,33.33333333333333
14:30:40,525,60,33.33333333333333
14:30:41,528,60,33.33333333333333
14:30:42,513,61,33.33333333333333
14:30:43,510,61,33.33333333333333
14:30:44,509,61,36.666666666666664
14:30:45,510,62,36.666666666666664
14:30:46,511,62,36.666666666666664
14:30:47,511,62,36.666666666666664
14:30:48,513,62,36.666666666666664
14:30:49,512,62,36.666666666666664
14:30:50,509,62,33.33333333333333
14:30:51,507,61,33.33333333333333
14:30:52,507,61,33.33333333333333
14:30:53,506,62,30.0
14:30:54,507,61,30.0
14:30:55,506,61,30.0
14:30:56,505,61,30.0
14:30:57,507,61,30.0
14:30:58,507,61,30.0
14:30:59,505,61,30.0
14:31:0,508,61,26.666666666666668
14:31:1,506,61,26.666666666666668
14:31:2,504,61,26.666666666666668
14:31:3,504,61,23.333333333333332
14:31:4,503,61,23.333333333333332
14:31:5,510,62,26.666666666666668
14:31:6,522,62,26.666666666666668
14:31:7,517,62,26.666666666666668
14:31:9,510,62,26.666666666666668
14:31:10,506,63,26.666666666666668
14:31:11,506,63,30.0
14:31:12,506,62,33.33333333333333
