Time,Emotion,Temperature,Humidity,discomfort
13:9:40,-1.000000,27.900000,30.000000,72.895294
13:9:41,-1.000000,27.900000,30.000000,72.895294
13:9:42,-1.000000,27.900000,30.000000,72.895294
13:9:43,-1.000000,27.799999,29.000000,72.652374
13:9:44,-1.000000,27.799999,29.000000,72.652374
13:9:45,-1.000000,27.900000,29.000000,72.762085
13:9:46,-1.000000,27.900000,29.000000,72.762085
13:9:47,-1.000000,27.900000,29.000000,72.762085
13:9:48,-1.000000,27.900000,29.000000,72.762085
13:9:49,-1.000000,27.900000,29.000000,72.762085
13:9:50,-1.000000,27.900000,29.000000,72.762085
13:9:51,-1.000000,27.900000,29.000000,72.762085
13:9:52,-1.000000,27.900000,29.000000,72.762085
13:9:53,-1.000000,27.900000,29.000000,72.762085
13:9:54,-1.000000,27.900000,29.000000,72.762085
13:9:55,-1.000000,27.900000,29.000000,72.762085
13:9:56,-1.000000,27.900000,28.000000,72.628876
13:9:57,-1.000000,27.900000,28.000000,72.628876
13:9:58,-1.000000,27.900000,29.000000,72.762085
13:9:58,-1.000000,27.900000,29.000000,72.762085
13:9:58,-1.000000,27.900000,29.000000,72.762085
13:9:58,-1.000000,27.900000,29.000000,72.762085
13:9:58,-1.000000,27.900000,29.000000,72.762085
13:9:58,-1.000000,27.900000,29.000000,72.762085
13:9:58,-1.000000,27.900000,29.000000,72.762085
