Time,Signal,BPM,Emotion
17:59:1,0,0,0.0
17:59:2,0,0,0.0
17:59:3,500,77,0.0
17:59:4,492,77,0.0
17:59:5,521,78,0.0
17:59:6,500,79,0.0
17:59:7,475,82,0.0
17:59:8,507,84,0.0
17:59:9,513,88,0.0
17:59:10,495,89,0.0
17:59:11,497,89,0.0
17:59:12,547,84,0.0
17:59:13,572,81,0.0
17:59:14,542,77,0.0
17:59:15,500,74,0.0
17:59:16,480,71,0.0
17:59:17,503,69,0.0
17:59:18,513,67,0.0
17:59:19,491,65,0.0
17:59:20,539,66,0.0
17:59:21,473,68,0.0
17:59:22,505,69,0.0
17:59:23,497,69,0.0
17:59:24,513,68,0.0
17:59:25,491,67,46.666666666666664
17:59:26,514,65,50.0
17:59:27,602,63,46.666666666666664
17:59:28,503,63,46.666666666666664
17:59:29,500,62,46.666666666666664
17:59:30,496,60,43.333333333333336
17:59:31,497,58,43.333333333333336
17:59:32,498,57,40.0
17:59:33,559,57,40.0
17:59:34,476,58,43.333333333333336
17:59:35,514,60,40.0
17:59:36,486,61,36.666666666666664
17:59:37,484,62,36.666666666666664
17:59:38,490,63,40.0
17:59:39,510,63,43.333333333333336
17:59:40,493,62,46.666666666666664
17:59:41,509,62,43.333333333333336
17:59:42,596,61,40.0
17:59:43,517,61,40.0
17:59:44,498,59,36.666666666666664
17:59:45,501,58,36.666666666666664
17:59:47,585,57,36.666666666666664
17:59:48,482,58,40.0
17:59:49,519,58,40.0
17:59:50,486,60,40.0
17:59:51,486,61,36.666666666666664
17:59:52,490,62,36.666666666666664
17:59:53,489,62,36.666666666666664
17:59:54,488,63,36.666666666666664
17:59:55,496,63,33.33333333333333
17:59:56,510,62,30.0
17:59:57,515,61,26.666666666666668
17:59:58,500,60,23.333333333333332
17:59:59,489,59,20.0
18:0:0,509,58,20.0
18:0:1,518,58,23.333333333333332
18:0:2,488,59,23.333333333333332
18:0:3,497,61,26.666666666666668
18:0:4,498,62,26.666666666666668
18:0:5,499,62,26.666666666666668
18:0:6,500,62,30.0
18:0:7,501,62,30.0
18:0:8,495,61,33.33333333333333
18:0:9,490,61,30.0
18:0:10,494,60,26.666666666666668
18:0:11,494,59,23.333333333333332
18:0:12,494,59,23.333333333333332
18:0:13,504,59,26.666666666666668
18:0:14,499,60,30.0
18:0:15,499,60,30.0
18:0:16,500,61,30.0
18:0:17,497,61,30.0
18:0:18,495,61,33.33333333333333
18:0:19,498,61,33.33333333333333
18:0:20,501,61,33.33333333333333
18:0:21,503,61,33.33333333333333
18:0:22,503,60,30.0
18:0:23,502,60,30.0
18:0:24,504,59,30.0
18:0:25,552,60,33.33333333333333
18:0:26,480,62,36.666666666666664
18:0:27,505,62,36.666666666666664
18:0:28,496,63,40.0
18:0:29,480,62,43.333333333333336
18:0:30,498,62,40.0
18:0:31,579,62,40.0
18:0:32,595,61,36.666666666666664
18:0:33,520,61,36.666666666666664
18:0:34,502,60,36.666666666666664
18:0:35,499,59,36.666666666666664
18:0:36,498,58,33.33333333333333
18:0:37,502,58,30.0
18:0:38,562,58,30.0
18:0:39,507,59,26.666666666666668
18:0:40,526,61,30.0
18:0:41,495,63,33.33333333333333
18:0:42,480,68,33.33333333333333
18:0:43,512,69,33.33333333333333
18:0:44,485,70,33.33333333333333
18:0:45,497,70,33.33333333333333
18:0:46,506,69,36.666666666666664
18:0:47,505,68,36.666666666666664
18:0:48,516,66,33.33333333333333
18:0:49,533,65,30.0
18:0:50,553,63,30.0
18:0:51,558,61,30.0
18:0:52,562,59,30.0
18:0:53,566,58,30.0
18:0:54,559,57,30.0
18:0:55,520,58,30.0
18:0:56,482,59,26.666666666666668
18:0:57,483,59,23.333333333333332
18:0:58,504,60,23.333333333333332
18:0:59,525,61,20.0
18:1:0,493,61,16.666666666666664
18:1:1,498,63,20.0
18:1:2,499,64,20.0
18:1:3,498,64,20.0
18:1:4,498,64,23.333333333333332
18:1:5,502,63,23.333333333333332
18:1:6,502,63,23.333333333333332
18:1:7,502,62,23.333333333333332
18:1:8,502,62,23.333333333333332
18:1:9,505,62,23.333333333333332
18:1:10,502,61,20.0
18:1:11,499,61,16.666666666666664
18:1:12,496,60,16.666666666666664
18:1:13,497,60,16.666666666666664
18:1:14,496,60,13.333333333333334
18:1:15,495,60,10.0
18:1:16,496,60,6.666666666666667
18:1:17,496,60,6.666666666666667
18:1:18,494,60,6.666666666666667
18:1:19,499,60,6.666666666666667
18:1:20,500,60,6.666666666666667
18:1:21,501,60,6.666666666666667
18:1:23,539,60,6.666666666666667
18:1:24,549,60,6.666666666666667
18:1:25,537,60,6.666666666666667
18:1:26,532,60,10.0
18:1:27,538,60,10.0
18:1:28,561,61,10.0
18:1:29,589,61,10.0
18:1:30,629,61,10.0
18:1:31,631,61,10.0
18:1:32,465,61,10.0
18:1:33,526,62,10.0
18:1:34,490,63,13.333333333333334
18:1:35,496,64,13.333333333333334
18:1:36,492,65,10.0
18:1:37,492,65,13.333333333333334
18:1:38,495,64,16.666666666666664
18:1:39,497,64,16.666666666666664
18:1:40,498,63,16.666666666666664
18:1:41,501,63,16.666666666666664
18:1:42,503,63,16.666666666666664
18:1:43,518,63,20.0
18:1:44,512,62,23.333333333333332
18:1:45,501,62,23.333333333333332
18:1:46,512,63,23.333333333333332
18:1:47,514,63,26.666666666666668
18:1:48,512,64,26.666666666666668
18:1:49,506,64,26.666666666666668
18:1:50,499,65,26.666666666666668
18:1:51,499,64,26.666666666666668
18:1:52,502,64,26.666666666666668
18:1:53,499,64,26.666666666666668
18:1:54,550,64,26.666666666666668
18:1:55,509,66,23.333333333333332
18:1:56,494,67,23.333333333333332
18:1:57,501,69,23.333333333333332
18:1:58,500,70,23.333333333333332
18:1:59,500,69,26.666666666666668
18:2:0,501,68,30.0
18:2:1,500,67,30.0
18:2:2,501,66,26.666666666666668
18:2:3,502,65,23.333333333333332
18:2:4,504,63,23.333333333333332
18:2:5,504,62,23.333333333333332
18:2:6,503,61,20.0
18:2:7,502,60,20.0
18:2:8,573,61,20.0
18:2:9,498,61,20.0
18:2:10,484,62,20.0
18:2:11,483,62,23.333333333333332
18:2:12,478,63,20.0
18:2:13,479,63,16.666666666666664
18:2:14,481,63,16.666666666666664
18:2:15,481,62,16.666666666666664
18:2:16,486,62,13.333333333333334
18:2:17,497,61,13.333333333333334
18:2:18,516,61,13.333333333333334
18:2:19,516,61,13.333333333333334
18:2:20,495,61,13.333333333333334
18:2:21,498,62,13.333333333333334
18:2:22,502,63,16.666666666666664
18:2:23,500,64,16.666666666666664
18:2:24,508,64,16.666666666666664
18:2:25,501,64,20.0
18:2:26,498,64,23.333333333333332
18:2:27,498,64,23.333333333333332
18:2:28,499,63,23.333333333333332
18:2:29,496,63,20.0
18:2:30,498,62,16.666666666666664
18:2:31,499,61,16.666666666666664
18:2:32,534,61,16.666666666666664
