Time,Signal,BPM,Emotion
17:36:35,0,0,0.0
17:36:36,0,0,0.0
17:36:37,484,0,0.0
17:36:38,454,80,0.0
17:36:39,484,80,0.0
17:36:40,461,78,0.0
17:36:41,483,77,0.0
17:36:42,479,76,0.0
17:36:43,470,75,0.0
17:36:44,490,75,0.0
17:36:45,475,73,0.0
17:36:46,488,72,0.0
17:36:47,490,71,0.0
17:36:48,605,70,0.0
17:36:49,503,70,0.0
17:36:50,512,71,0.0
17:36:51,490,72,0.0
17:36:52,483,72,0.0
17:36:53,512,70,0.0
17:36:54,565,69,0.0
17:36:55,513,69,0.0
17:36:56,525,69,0.0
17:36:57,472,70,0.0
17:36:58,502,71,0.0
17:36:59,567,70,0.0
17:37:0,446,69,0.0
17:37:1,512,69,0.0
17:37:2,500,69,0.0
17:37:3,477,70,0.0
17:37:4,482,70,0.0
17:37:5,489,68,0.0
17:37:6,493,67,0.0
17:37:7,489,66,46.666666666666664
17:37:8,481,65,43.333333333333336
17:37:9,541,65,46.666666666666664
17:37:10,575,64,43.333333333333336
17:37:11,538,64,43.333333333333336
17:37:12,519,63,46.666666666666664
17:37:13,599,62,43.333333333333336
17:37:14,644,62,43.333333333333336
17:37:15,506,63,43.333333333333336
17:37:16,461,63,40.0
17:37:17,490,62,40.0
17:37:18,500,62,40.0
17:37:19,508,62,40.0
17:37:20,508,62,40.0
17:37:21,497,62,36.666666666666664
17:37:22,481,63,36.666666666666664
17:37:23,485,63,33.33333333333333
17:37:24,494,63,30.0
17:37:25,487,63,26.666666666666668
17:37:26,488,63,23.333333333333332
17:37:27,489,63,23.333333333333332
17:37:28,490,63,23.333333333333332
17:37:29,494,63,23.333333333333332
17:37:30,624,64,20.0
17:37:31,459,64,20.0
17:37:32,481,65,20.0
17:37:33,492,65,20.0
17:37:34,494,65,23.333333333333332
17:37:35,494,65,26.666666666666668
17:37:36,493,65,23.333333333333332
17:37:37,495,65,20.0
17:37:38,492,65,20.0
17:37:39,580,65,16.666666666666664
17:37:40,538,64,20.0
17:37:41,459,64,16.666666666666664
17:37:42,511,64,16.666666666666664
17:37:44,482,65,13.333333333333334
17:37:45,494,67,16.666666666666664
17:37:46,583,69,16.666666666666664
17:37:47,463,70,16.666666666666664
17:37:48,498,70,16.666666666666664
17:37:49,492,71,16.666666666666664
17:37:50,490,71,16.666666666666664
17:37:51,491,71,16.666666666666664
17:37:52,522,71,16.666666666666664
17:37:53,623,68,16.666666666666664
17:37:54,633,68,16.666666666666664
17:37:55,439,67,16.666666666666664
17:37:56,528,67,20.0
17:37:57,472,66,20.0
17:37:58,482,66,20.0
17:37:59,490,65,20.0
17:38:0,492,64,20.0
17:38:1,495,64,20.0
17:38:2,497,64,20.0
17:38:3,500,64,20.0
17:38:4,492,64,20.0
17:38:5,491,64,16.666666666666664
17:38:6,491,63,13.333333333333334
17:38:7,494,62,13.333333333333334
17:38:8,491,62,13.333333333333334
17:38:9,490,61,13.333333333333334
17:38:10,533,61,13.333333333333334
17:38:11,690,62,10.0
17:38:12,441,63,13.333333333333334
17:38:13,465,64,16.666666666666664
17:38:14,485,65,20.0
17:38:15,543,66,16.666666666666664
17:38:16,585,68,16.666666666666664
17:38:17,456,68,16.666666666666664
17:38:18,500,70,16.666666666666664
17:38:19,500,72,20.0
17:38:20,449,75,23.333333333333332
17:38:21,479,75,23.333333333333332
17:38:22,488,79,23.333333333333332
17:38:23,483,81,23.333333333333332
17:38:24,481,82,23.333333333333332
17:38:25,488,81,26.666666666666668
17:38:26,574,78,26.666666666666668
17:38:27,576,76,30.0
17:38:28,469,74,30.0
17:38:29,502,73,30.0
17:38:30,488,72,30.0
17:38:31,531,70,30.0
17:38:32,503,69,30.0
17:38:33,501,71,30.0
17:38:34,521,74,30.0
17:38:35,499,77,33.33333333333333
17:38:36,546,81,33.33333333333333
17:38:37,507,82,33.33333333333333
17:38:38,462,88,33.33333333333333
17:38:39,540,91,33.33333333333333
17:38:40,488,94,33.33333333333333
17:38:41,493,92,36.666666666666664
17:38:42,501,90,36.666666666666664
17:38:43,525,87,33.33333333333333
17:38:44,521,88,30.0
17:38:45,501,88,30.0
17:38:46,519,75,33.33333333333333
17:38:47,502,67,36.666666666666664
17:38:48,498,67,36.666666666666664
17:38:49,580,60,40.0
17:38:50,594,58,43.333333333333336
17:38:51,576,57,40.0
17:38:52,564,56,36.666666666666664
17:38:53,546,55,36.666666666666664
17:38:54,504,54,36.666666666666664
17:38:55,475,52,36.666666666666664
17:38:56,457,56,36.666666666666664
17:38:57,465,59,33.33333333333333
17:38:58,487,62,30.0
17:38:59,491,61,26.666666666666668
17:39:0,494,61,26.666666666666668
17:39:1,480,60,26.666666666666668
17:39:2,481,60,26.666666666666668
17:39:3,477,60,23.333333333333332
17:39:4,462,60,23.333333333333332
17:39:5,475,60,23.333333333333332
17:39:6,531,60,23.333333333333332
17:39:7,475,61,23.333333333333332
17:39:8,490,61,23.333333333333332
17:39:9,490,62,23.333333333333332
17:39:10,493,62,26.666666666666668
17:39:11,494,62,26.666666666666668
17:39:12,493,62,26.666666666666668
17:39:13,487,63,23.333333333333332
17:39:14,487,63,20.0
17:39:15,488,63,20.0
17:39:16,487,63,20.0
17:39:17,488,62,16.666666666666664
17:39:18,517,61,13.333333333333334
17:39:19,591,62,10.0
17:39:20,648,62,10.0
17:39:21,689,62,10.0
17:39:22,723,61,10.0
17:39:23,455,61,10.0
17:39:24,425,61,10.0
17:39:25,448,62,10.0
17:39:27,493,62,10.0
17:39:28,510,61,10.0
17:39:29,519,62,10.0
17:39:30,475,62,10.0
17:39:31,465,62,10.0
17:39:32,466,62,10.0
17:39:33,477,62,10.0
17:39:34,491,62,10.0
17:39:35,488,62,10.0
17:39:36,490,62,10.0
17:39:37,485,61,6.666666666666667
17:39:38,486,61,6.666666666666667
17:39:39,483,61,6.666666666666667
17:39:40,475,60,3.3333333333333335
17:39:41,476,60,3.3333333333333335
17:39:42,475,60,3.3333333333333335
17:39:43,475,60,3.3333333333333335
17:39:44,470,59,3.3333333333333335
17:39:45,459,59,3.3333333333333335
17:39:46,461,58,3.3333333333333335
17:39:47,464,59,3.3333333333333335
17:39:48,468,59,3.3333333333333335
17:39:49,471,59,3.3333333333333335
