Time,Signal,BPM,Emotion
17:42:14,0,0,0.0
17:42:15,0,0,0.0
17:42:16,502,74,0.0
17:42:17,489,72,0.0
17:42:18,493,72,0.0
17:42:19,493,71,0.0
17:42:20,484,72,0.0
17:42:21,487,73,0.0
17:42:22,497,74,0.0
17:42:23,553,74,0.0
17:42:24,626,72,0.0
17:42:25,539,72,0.0
17:42:26,454,71,0.0
17:42:27,518,71,0.0
17:42:28,489,71,0.0
17:42:29,598,70,0.0
17:42:30,575,69,0.0
17:42:31,612,68,0.0
17:42:32,658,67,0.0
17:42:33,648,66,0.0
17:42:34,616,65,0.0
17:42:35,645,65,0.0
17:42:36,532,64,0.0
17:42:37,452,64,0.0
17:42:38,508,63,43.333333333333336
17:42:39,521,61,40.0
17:42:40,519,61,40.0
17:42:41,513,61,40.0
17:42:42,513,61,36.666666666666664
17:42:43,491,62,36.666666666666664
17:42:44,475,62,33.33333333333333
17:42:45,481,63,33.33333333333333
17:42:46,489,63,33.33333333333333
17:42:47,492,62,30.0
17:42:48,491,62,30.0
17:42:49,493,61,30.0
17:42:50,495,61,26.666666666666668
17:42:52,495,61,26.666666666666668
17:42:53,491,62,26.666666666666668
17:42:54,487,62,23.333333333333332
17:42:55,539,62,20.0
17:42:56,614,62,20.0
17:42:57,713,62,20.0
17:42:58,688,62,16.666666666666664
17:42:59,511,62,16.666666666666664
17:43:0,417,63,16.666666666666664
17:43:1,517,63,13.333333333333334
17:43:2,498,63,10.0
17:43:3,468,63,10.0
17:43:4,479,63,10.0
17:43:5,487,63,10.0
17:43:6,489,63,10.0
17:43:7,495,63,6.666666666666667
17:43:8,492,64,3.3333333333333335
17:43:9,572,65,3.3333333333333335
17:43:10,444,66,6.666666666666667
17:43:11,508,66,10.0
17:43:12,489,67,10.0
17:43:13,503,68,13.333333333333334
17:43:14,538,69,16.666666666666664
17:43:15,553,68,20.0
17:43:16,585,67,20.0
17:43:17,591,66,20.0
17:43:18,591,65,20.0
17:43:19,585,64,20.0
17:43:20,553,63,20.0
17:43:21,492,62,20.0
17:43:22,472,61,20.0
17:43:23,512,61,20.0
17:43:24,517,62,20.0
17:43:25,489,62,20.0
17:43:26,485,62,20.0
17:43:27,494,63,20.0
17:43:28,498,63,20.0
17:43:29,498,64,20.0
17:43:30,495,64,20.0
17:43:31,574,65,20.0
17:43:32,489,66,23.333333333333332
17:43:33,509,66,23.333333333333332
17:43:34,508,65,26.666666666666668
17:43:35,514,65,30.0
17:43:36,512,64,30.0
17:43:37,512,64,30.0
17:43:38,517,63,26.666666666666668
17:43:39,517,63,23.333333333333332
17:43:40,502,62,20.0
17:43:41,503,61,20.0
17:43:42,501,60,16.666666666666664
17:43:43,506,60,16.666666666666664
17:43:44,507,60,13.333333333333334
17:43:45,489,60,10.0
17:43:46,488,61,10.0
17:43:47,497,61,13.333333333333334
17:43:48,497,61,13.333333333333334
17:43:49,496,61,16.666666666666664
17:43:50,496,61,16.666666666666664
17:43:51,499,61,16.666666666666664
17:43:52,499,61,16.666666666666664
17:43:53,499,61,16.666666666666664
17:43:54,499,61,16.666666666666664
17:43:55,497,61,16.666666666666664
17:43:56,500,61,16.666666666666664
17:43:57,499,60,16.666666666666664
17:43:58,500,60,16.666666666666664
17:43:59,499,60,16.666666666666664
17:44:0,500,60,16.666666666666664
17:44:1,499,60,16.666666666666664
17:44:2,499,59,13.333333333333334
17:44:3,496,59,13.333333333333334
17:44:4,492,59,10.0
17:44:5,489,58,6.666666666666667
17:44:6,484,58,6.666666666666667
17:44:7,481,58,6.666666666666667
17:44:8,491,58,6.666666666666667
17:44:9,508,57,6.666666666666667
17:44:10,467,57,10.0
17:44:11,624,56,10.0
17:44:12,501,56,10.0
17:44:13,497,56,13.333333333333334
17:44:14,495,55,13.333333333333334
17:44:15,498,55,13.333333333333334
17:44:16,587,57,13.333333333333334
17:44:17,484,58,16.666666666666664
17:44:18,480,60,16.666666666666664
17:44:19,598,58,16.666666666666664
17:44:20,567,58,16.666666666666664
17:44:21,557,59,20.0
17:44:22,495,59,20.0
17:44:23,497,59,20.0
17:44:24,503,58,23.333333333333332
17:44:26,506,58,26.666666666666668
17:44:27,517,57,26.666666666666668
17:44:28,503,55,26.666666666666668
17:44:29,498,54,30.0
17:44:30,554,52,30.0
17:44:31,515,52,30.0
