Time,Emotion,Temperature,Humidity,discomfort
0:39:3,0.000000,22.200001,91.000000,71.26898
0:39:4,-1.000000,22.200001,91.000000,71.26898
0:39:5,-1.000000,22.100000,91.000000,71.097885
0:39:6,-1.000000,22.100000,91.000000,71.097885
0:39:7,-1.000000,22.200001,92.000000,71.345764
0:39:8,-1.000000,22.200001,92.000000,71.345764
0:39:9,-1.000000,22.200001,91.000000,71.26898
0:39:10,-1.000000,22.200001,91.000000,71.26898
0:39:11,-1.000000,22.100000,91.000000,71.097885
0:39:12,-1.000000,22.100000,91.000000,71.097885
0:39:13,-1.000000,22.100000,92.000000,71.173676
0:39:14,-1.000000,22.100000,92.000000,71.173676
0:39:15,-1.000000,22.200001,91.000000,71.26898
0:39:16,-1.000000,22.200001,91.000000,71.26898
0:39:17,-1.000000,22.200001,91.000000,71.26898
0:39:18,-1.000000,22.200001,91.000000,71.26898
0:39:19,-1.000000,22.100000,91.000000,71.097885
0:39:20,-1.000000,22.100000,91.000000,71.097885
0:39:21,-1.000000,22.100000,91.000000,71.097885
0:39:22,-1.000000,22.200001,91.000000,71.26898
0:39:23,-1.000000,22.200001,91.000000,71.26898
0:39:24,-1.000000,22.200001,91.000000,71.26898
0:39:25,-1.000000,22.100000,89.000000,70.94631
0:39:26,-1.000000,22.100000,89.000000,70.94631
0:39:27,-1.000000,22.200001,89.000000,71.11542
0:39:28,-1.000000,22.200001,89.000000,71.11542
0:39:29,-1.000000,22.200001,91.000000,71.26898
0:39:30,-1.000000,22.200001,91.000000,71.26898
0:39:31,-1.000000,22.200001,91.000000,71.26898
0:39:32,-1.000000,22.200001,91.000000,71.26898
0:39:33,53.333333,22.200001,91.000000,71.26898
0:39:34,50.000000,22.200001,90.000000,71.1922
0:39:35,46.666667,22.200001,90.000000,71.1922
0:39:36,43.333333,22.200001,92.000000,71.345764
0:39:37,43.333333,22.200001,92.000000,71.345764
0:39:38,43.333333,22.200001,92.000000,71.345764
0:39:39,40.000000,22.200001,92.000000,71.345764
0:39:40,36.666667,22.200001,91.000000,71.26898
0:39:41,40.000000,22.200001,91.000000,71.26898
0:39:42,40.000000,22.200001,91.000000,71.26898
0:39:43,36.666667,22.100000,91.000000,71.097885
0:39:44,33.333333,22.100000,91.000000,71.097885
0:39:45,30.000000,22.200001,90.000000,71.1922
0:39:46,33.333333,22.200001,90.000000,71.1922
0:39:47,33.333333,22.200001,91.000000,71.26898
0:39:48,36.666667,22.200001,91.000000,71.26898
0:39:49,36.666667,22.200001,91.000000,71.26898
0:39:50,40.000000,22.200001,91.000000,71.26898
0:39:51,40.000000,22.200001,91.000000,71.26898
0:39:52,36.666667,22.200001,90.000000,71.1922
0:39:53,40.000000,22.200001,90.000000,71.1922
0:39:54,36.666667,22.200001,92.000000,71.345764
0:39:55,36.666667,22.200001,92.000000,71.345764
0:39:56,36.666667,22.200001,92.000000,71.345764
0:39:57,36.666667,22.200001,92.000000,71.345764
0:39:58,36.666667,22.200001,92.000000,71.345764
0:39:59,36.666667,22.200001,92.000000,71.345764
0:40:0,36.666667,22.200001,92.000000,71.345764
0:40:1,36.666667,22.200001,90.000000,71.1922
0:40:2,36.666667,22.200001,90.000000,71.1922
0:40:3,33.333333,22.200001,91.000000,71.26898
0:40:4,33.333333,22.200001,91.000000,71.26898
0:40:5,36.666667,22.200001,91.000000,71.26898
0:40:6,36.666667,22.200001,91.000000,71.26898
0:40:7,36.666667,22.200001,91.000000,71.26898
0:40:8,40.000000,22.200001,91.000000,71.26898
0:40:9,40.000000,22.200001,91.000000,71.26898
0:40:10,40.000000,22.200001,91.000000,71.26898
0:40:11,36.666667,22.200001,91.000000,71.26898
0:40:12,36.666667,22.200001,91.000000,71.26898
0:40:13,36.666667,22.200001,91.000000,71.26898
0:40:14,36.666667,22.200001,91.000000,71.26898
0:40:15,40.000000,22.200001,90.000000,71.1922
0:40:16,36.666667,22.200001,90.000000,71.1922
0:40:17,36.666667,22.200001,90.000000,71.1922
0:40:18,33.333333,22.200001,90.000000,71.1922
0:40:19,30.000000,22.299999,92.000000,71.51784
0:40:20,30.000000,22.299999,92.000000,71.51784
0:40:21,26.666667,22.100000,91.000000,71.097885
0:40:22,30.000000,22.100000,91.000000,71.097885
0:40:23,26.666667,22.100000,91.000000,71.097885
0:40:24,30.000000,22.200001,91.000000,71.26898
0:40:25,33.333333,22.200001,91.000000,71.26898
0:40:26,33.333333,22.200001,90.000000,71.1922
0:40:27,36.666667,22.200001,90.000000,71.1922
0:40:28,40.000000,22.200001,90.000000,71.1922
0:40:29,40.000000,22.200001,91.000000,71.26898
0:40:30,40.000000,22.200001,91.000000,71.26898
0:40:31,36.666667,22.200001,90.000000,71.1922
0:40:32,40.000000,22.200001,90.000000,71.1922
0:40:33,40.000000,22.200001,90.000000,71.1922
0:40:34,43.333333,22.200001,91.000000,71.26898
0:40:35,43.333333,22.200001,91.000000,71.26898
0:40:36,46.666667,22.200001,90.000000,71.1922
0:40:37,50.000000,22.200001,90.000000,71.1922
0:40:38,50.000000,22.200001,91.000000,71.26898
0:40:39,53.333333,22.200001,91.000000,71.26898
0:40:40,53.333333,22.200001,91.000000,71.26898
0:40:41,53.333333,22.200001,91.000000,71.26898
0:40:42,53.333333,22.200001,91.000000,71.26898
0:40:43,53.333333,22.200001,91.000000,71.26898
0:40:44,53.333333,22.200001,91.000000,71.26898
0:40:45,50.000000,22.200001,91.000000,71.26898
0:40:46,50.000000,22.200001,91.000000,71.26898
0:40:47,50.000000,22.299999,91.000000,71.44006
0:40:48,50.000000,22.299999,91.000000,71.44006
0:40:49,50.000000,22.200001,89.000000,71.11542
0:40:50,46.666667,22.200001,89.000000,71.11542
0:40:51,46.666667,22.200001,92.000000,71.345764
0:40:52,43.333333,22.200001,92.000000,71.345764
0:40:53,43.333333,22.200001,92.000000,71.345764
0:40:54,40.000000,22.200001,91.000000,71.26898
0:40:55,36.666667,22.200001,91.000000,71.26898
